year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_jja,CM
2003,0.0023589724495462648,Cem_Forest_NonForest,seasonal_jja,CM
2004,0.02478685638069571,Cem_Forest_NonForest,seasonal_jja,CM
2005,0.0003481068112852783,Cem_Forest_NonForest,seasonal_jja,CM
2006,0.0051595809965025745,Cem_Forest_NonForest,seasonal_jja,CM
2007,0.005022024428498663,Cem_Forest_NonForest,seasonal_jja,CM
2008,0.002710528110529297,Cem_Forest_NonForest,seasonal_jja,CM
2009,0.0007087689940418701,Cem_Forest_NonForest,seasonal_jja,CM
2010,5.590015785394287e-05,Cem_Forest_NonForest,seasonal_jja,CM
2011,0.002746514181176392,Cem_Forest_NonForest,seasonal_jja,CM
2012,0.03690652440996856,Cem_Forest_NonForest,seasonal_jja,CM
2013,0.0009400171191594238,Cem_Forest_NonForest,seasonal_jja,CM
2014,0.01621270470376099,Cem_Forest_NonForest,seasonal_jja,CM
2015,0.01723686173392468,Cem_Forest_NonForest,seasonal_jja,CM
2016,0.00019892320588903807,Cem_Forest_NonForest,seasonal_jja,CM
2017,0.0,Cem_Forest_NonForest,seasonal_jja,CM
2018,0.007694854864874298,Cem_Forest_NonForest,seasonal_jja,CM
2019,0.000487865837301342,Cem_Forest_NonForest,seasonal_jja,CM
2020,0.0037015938169625553,Cem_Forest_NonForest,seasonal_jja,CM
