year,sum,variable,timescale,country
2002,0.006923752860277297,Cem_Forest_NonForest,seasonal_jja,ECU
2003,0.0032726627782275848,Cem_Forest_NonForest,seasonal_jja,ECU
2004,0.007662645775428787,Cem_Forest_NonForest,seasonal_jja,ECU
2005,0.010039927459153015,Cem_Forest_NonForest,seasonal_jja,ECU
2006,0.0005604785840895996,Cem_Forest_NonForest,seasonal_jja,ECU
2007,0.000257217822557312,Cem_Forest_NonForest,seasonal_jja,ECU
2008,0.0,Cem_Forest_NonForest,seasonal_jja,ECU
2009,0.0005234515566027069,Cem_Forest_NonForest,seasonal_jja,ECU
2010,0.0015613565297247162,Cem_Forest_NonForest,seasonal_jja,ECU
2011,0.000298669785884613,Cem_Forest_NonForest,seasonal_jja,ECU
2012,0.017576098193727067,Cem_Forest_NonForest,seasonal_jja,ECU
2013,0.0,Cem_Forest_NonForest,seasonal_jja,ECU
2014,0.010223055808225617,Cem_Forest_NonForest,seasonal_jja,ECU
2015,0.01880850644481609,Cem_Forest_NonForest,seasonal_jja,ECU
2016,0.004434269365463234,Cem_Forest_NonForest,seasonal_jja,ECU
2017,0.001864880108841652,Cem_Forest_NonForest,seasonal_jja,ECU
2018,0.003511057438387268,Cem_Forest_NonForest,seasonal_jja,ECU
2019,0.003820087302268097,Cem_Forest_NonForest,seasonal_jja,ECU
2020,0.0007323267327565613,Cem_Forest_NonForest,seasonal_jja,ECU
