year,sum,variable,timescale,country
2002,0.015899920932392654,Cem_Forest_NonForest,seasonal_jja,ESP
2003,0.142476629597278,Cem_Forest_NonForest,seasonal_jja,ESP
2004,0.05621357436075196,Cem_Forest_NonForest,seasonal_jja,ESP
2005,0.15832498113769355,Cem_Forest_NonForest,seasonal_jja,ESP
2006,0.6894859975850999,Cem_Forest_NonForest,seasonal_jja,ESP
2007,0.0009338719093835449,Cem_Forest_NonForest,seasonal_jja,ESP
2008,0.001454831272623718,Cem_Forest_NonForest,seasonal_jja,ESP
2009,0.018471635252504972,Cem_Forest_NonForest,seasonal_jja,ESP
2010,0.02782744412050031,Cem_Forest_NonForest,seasonal_jja,ESP
2011,0.009956415758963045,Cem_Forest_NonForest,seasonal_jja,ESP
2012,0.06927808368586202,Cem_Forest_NonForest,seasonal_jja,ESP
2013,0.04675126403389872,Cem_Forest_NonForest,seasonal_jja,ESP
2014,0.00022650714743127441,Cem_Forest_NonForest,seasonal_jja,ESP
2015,0.09071383405294106,Cem_Forest_NonForest,seasonal_jja,ESP
2016,0.07810111286691522,Cem_Forest_NonForest,seasonal_jja,ESP
2017,0.0313663714653263,Cem_Forest_NonForest,seasonal_jja,ESP
2018,0.0008972851240435791,Cem_Forest_NonForest,seasonal_jja,ESP
2019,0.005878950406917541,Cem_Forest_NonForest,seasonal_jja,ESP
2020,0.016248266563487792,Cem_Forest_NonForest,seasonal_jja,ESP
