year,sum,variable,timescale,country
2002,0.00019047105647857664,Cem_Forest_NonForest,seasonal_jja,HRV
2003,0.012735109108826349,Cem_Forest_NonForest,seasonal_jja,HRV
2004,0.00037555671986633303,Cem_Forest_NonForest,seasonal_jja,HRV
2005,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2006,0.0016845903352432556,Cem_Forest_NonForest,seasonal_jja,HRV
2007,0.010228513464499236,Cem_Forest_NonForest,seasonal_jja,HRV
2008,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2009,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2010,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2011,0.00028252639626654053,Cem_Forest_NonForest,seasonal_jja,HRV
2012,0.013880201237191825,Cem_Forest_NonForest,seasonal_jja,HRV
2013,0.00012794257355603028,Cem_Forest_NonForest,seasonal_jja,HRV
2014,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2015,0.005721697962305176,Cem_Forest_NonForest,seasonal_jja,HRV
2016,0.00044529058005422973,Cem_Forest_NonForest,seasonal_jja,HRV
2017,0.016272932259167816,Cem_Forest_NonForest,seasonal_jja,HRV
2018,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2019,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
2020,0.0,Cem_Forest_NonForest,seasonal_jja,HRV
