year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2003,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2004,9.875036077804565e-05,Cem_Forest_NonForest,seasonal_jja,KG
2005,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2006,0.0012189234021158142,Cem_Forest_NonForest,seasonal_jja,KG
2007,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2008,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2009,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2010,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2011,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2012,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2013,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2014,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2015,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2016,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2017,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2018,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2019,0.0,Cem_Forest_NonForest,seasonal_jja,KG
2020,0.0,Cem_Forest_NonForest,seasonal_jja,KG
