year,sum,variable,timescale,region
2002,0.10112888096643381,Cem_Forest_NonForest,seasonal_jja,ZW
2003,0.08321896136589062,Cem_Forest_NonForest,seasonal_jja,ZW
2004,0.11475342229835532,Cem_Forest_NonForest,seasonal_jja,ZW
2005,0.04890940312468246,Cem_Forest_NonForest,seasonal_jja,ZW
2006,0.07337181915958943,Cem_Forest_NonForest,seasonal_jja,ZW
2007,0.1316714569104293,Cem_Forest_NonForest,seasonal_jja,ZW
2008,0.0413811660564159,Cem_Forest_NonForest,seasonal_jja,ZW
2009,0.06034934147580779,Cem_Forest_NonForest,seasonal_jja,ZW
2010,0.05360700928406133,Cem_Forest_NonForest,seasonal_jja,ZW
2011,0.10719833278645077,Cem_Forest_NonForest,seasonal_jja,ZW
2012,0.05548761663627924,Cem_Forest_NonForest,seasonal_jja,ZW
2013,0.10044759093000705,Cem_Forest_NonForest,seasonal_jja,ZW
2014,0.11897860149553702,Cem_Forest_NonForest,seasonal_jja,ZW
2015,0.06665071634343424,Cem_Forest_NonForest,seasonal_jja,ZW
2016,0.04916032656953319,Cem_Forest_NonForest,seasonal_jja,ZW
2017,0.032628150261461236,Cem_Forest_NonForest,seasonal_jja,ZW
2018,0.1250886175476618,Cem_Forest_NonForest,seasonal_jja,ZW
2019,0.048612694604494716,Cem_Forest_NonForest,seasonal_jja,ZW
2020,0.005264920905327393,Cem_Forest_NonForest,seasonal_jja,ZW
