year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_mam,D
2003,0.002570869565893219,Cem_Forest_NonForest,seasonal_mam,D
2004,0.0002043981658127136,Cem_Forest_NonForest,seasonal_mam,D
2005,0.0,Cem_Forest_NonForest,seasonal_mam,D
2006,0.0003678808305149994,Cem_Forest_NonForest,seasonal_mam,D
2007,0.0,Cem_Forest_NonForest,seasonal_mam,D
2008,0.0,Cem_Forest_NonForest,seasonal_mam,D
2009,0.00024521236697256466,Cem_Forest_NonForest,seasonal_mam,D
2010,0.0,Cem_Forest_NonForest,seasonal_mam,D
2011,0.0,Cem_Forest_NonForest,seasonal_mam,D
2012,0.0,Cem_Forest_NonForest,seasonal_mam,D
2013,0.0,Cem_Forest_NonForest,seasonal_mam,D
2014,0.0,Cem_Forest_NonForest,seasonal_mam,D
2015,0.0001266625941036682,Cem_Forest_NonForest,seasonal_mam,D
2016,0.0,Cem_Forest_NonForest,seasonal_mam,D
2017,0.0,Cem_Forest_NonForest,seasonal_mam,D
2018,0.0,Cem_Forest_NonForest,seasonal_mam,D
2019,0.0,Cem_Forest_NonForest,seasonal_mam,D
2020,0.0,Cem_Forest_NonForest,seasonal_mam,D
