year,sum,variable,timescale,country
2002,0.00011922430774597169,Cem_Forest_NonForest,seasonal_mam,GHA
2003,0.020980451990409228,Cem_Forest_NonForest,seasonal_mam,GHA
2004,0.056299995997617557,Cem_Forest_NonForest,seasonal_mam,GHA
2005,0.0005768726247655945,Cem_Forest_NonForest,seasonal_mam,GHA
2006,0.0022960315804094696,Cem_Forest_NonForest,seasonal_mam,GHA
2007,0.003678555213917603,Cem_Forest_NonForest,seasonal_mam,GHA
2008,0.0,Cem_Forest_NonForest,seasonal_mam,GHA
2009,0.001418815210891285,Cem_Forest_NonForest,seasonal_mam,GHA
2010,0.0007620031271769715,Cem_Forest_NonForest,seasonal_mam,GHA
2011,0.003419455284138153,Cem_Forest_NonForest,seasonal_mam,GHA
2012,0.009749728526321775,Cem_Forest_NonForest,seasonal_mam,GHA
2013,0.0002817259339944153,Cem_Forest_NonForest,seasonal_mam,GHA
2014,0.0030078369823276522,Cem_Forest_NonForest,seasonal_mam,GHA
2015,0.0006994966050068931,Cem_Forest_NonForest,seasonal_mam,GHA
2016,0.0003742772834018555,Cem_Forest_NonForest,seasonal_mam,GHA
2017,0.00015357440169116212,Cem_Forest_NonForest,seasonal_mam,GHA
2018,0.0013735122229316713,Cem_Forest_NonForest,seasonal_mam,GHA
2019,0.0016558127853034208,Cem_Forest_NonForest,seasonal_mam,GHA
2020,0.0012646074502228298,Cem_Forest_NonForest,seasonal_mam,GHA
