year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2003,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2004,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2005,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2006,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2007,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2008,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2009,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2010,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2011,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2012,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2013,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2014,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2015,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2016,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2017,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2018,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2019,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
2020,0.0,Cem_Forest_NonForest,seasonal_mam,IRQ
