year,sum,variable,timescale,region
2002,0.5870644563458229,Cem_Forest_NonForest,seasonal_mam,US
2003,0.6040620871178668,Cem_Forest_NonForest,seasonal_mam,US
2004,1.2813662832837616,Cem_Forest_NonForest,seasonal_mam,US
2005,0.5543225703218673,Cem_Forest_NonForest,seasonal_mam,US
2006,1.0302539837161537,Cem_Forest_NonForest,seasonal_mam,US
2007,3.413210280367333,Cem_Forest_NonForest,seasonal_mam,US
2008,0.9481307128606993,Cem_Forest_NonForest,seasonal_mam,US
2009,0.8669629734278035,Cem_Forest_NonForest,seasonal_mam,US
2010,0.8681592539785649,Cem_Forest_NonForest,seasonal_mam,US
2011,1.230382261827347,Cem_Forest_NonForest,seasonal_mam,US
2012,0.8375932953012996,Cem_Forest_NonForest,seasonal_mam,US
2013,1.1314544990796933,Cem_Forest_NonForest,seasonal_mam,US
2014,1.187176626900614,Cem_Forest_NonForest,seasonal_mam,US
2015,0.491701445859953,Cem_Forest_NonForest,seasonal_mam,US
2016,0.8442616881908747,Cem_Forest_NonForest,seasonal_mam,US
2017,2.2982184707475826,Cem_Forest_NonForest,seasonal_mam,US
2018,1.4687690789745533,Cem_Forest_NonForest,seasonal_mam,US
2019,1.1285910919382833,Cem_Forest_NonForest,seasonal_mam,US
2020,0.6943078125358534,Cem_Forest_NonForest,seasonal_mam,US
