year,sum,variable,timescale,region
2002,7.984165816253662e-05,Cem_Forest_NonForest,seasonal_mam,UZ
2003,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2004,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2005,5.4338040588378904e-05,Cem_Forest_NonForest,seasonal_mam,UZ
2006,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2007,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2008,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2009,0.00024219505853153992,Cem_Forest_NonForest,seasonal_mam,UZ
2010,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2011,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2012,8.69545639369507e-05,Cem_Forest_NonForest,seasonal_mam,UZ
2013,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2014,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2015,6.110795138337708e-05,Cem_Forest_NonForest,seasonal_mam,UZ
2016,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2017,4.6526391181869505e-05,Cem_Forest_NonForest,seasonal_mam,UZ
2018,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2019,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
2020,0.0,Cem_Forest_NonForest,seasonal_mam,UZ
