year,sum,variable,timescale,country
2002,0.0008108602382459564,Cem_Forest_NonForest,seasonal_son,FRA
2003,0.05105684861861047,Cem_Forest_NonForest,seasonal_son,FRA
2004,0.004908542609130677,Cem_Forest_NonForest,seasonal_son,FRA
2005,0.007394216630151887,Cem_Forest_NonForest,seasonal_son,FRA
2006,0.004791979478464721,Cem_Forest_NonForest,seasonal_son,FRA
2007,0.0012138847951065673,Cem_Forest_NonForest,seasonal_son,FRA
2008,0.005591794345481049,Cem_Forest_NonForest,seasonal_son,FRA
2009,0.0048665451654082035,Cem_Forest_NonForest,seasonal_son,FRA
2010,0.004118505361749806,Cem_Forest_NonForest,seasonal_son,FRA
2011,0.0015150402290599976,Cem_Forest_NonForest,seasonal_son,FRA
2012,0.0018724550367920838,Cem_Forest_NonForest,seasonal_son,FRA
2013,0.0004306576780585327,Cem_Forest_NonForest,seasonal_son,FRA
2014,0.0036647403395249937,Cem_Forest_NonForest,seasonal_son,FRA
2015,0.0014941763088476105,Cem_Forest_NonForest,seasonal_son,FRA
2016,0.00807179078705136,Cem_Forest_NonForest,seasonal_son,FRA
2017,0.0051295187903818975,Cem_Forest_NonForest,seasonal_son,FRA
2018,0.002501184633493134,Cem_Forest_NonForest,seasonal_son,FRA
2019,0.0015899044219574892,Cem_Forest_NonForest,seasonal_son,FRA
2020,0.003187179570804199,Cem_Forest_NonForest,seasonal_son,FRA
