year,sum,variable,timescale,country
2002,0.00031507276296362306,Cem_Forest_NonForest,seasonal_son,IRN
2003,0.0,Cem_Forest_NonForest,seasonal_son,IRN
2004,0.0,Cem_Forest_NonForest,seasonal_son,IRN
2005,0.0019958664418720093,Cem_Forest_NonForest,seasonal_son,IRN
2006,0.0,Cem_Forest_NonForest,seasonal_son,IRN
2007,0.0018761971980778198,Cem_Forest_NonForest,seasonal_son,IRN
2008,6.0908115486816406e-05,Cem_Forest_NonForest,seasonal_son,IRN
2009,0.00048657152182397453,Cem_Forest_NonForest,seasonal_son,IRN
2010,0.03374837379576575,Cem_Forest_NonForest,seasonal_son,IRN
2011,0.0,Cem_Forest_NonForest,seasonal_son,IRN
2012,0.002499777647211975,Cem_Forest_NonForest,seasonal_son,IRN
2013,5.588295233422852e-05,Cem_Forest_NonForest,seasonal_son,IRN
2014,0.0005807734562700195,Cem_Forest_NonForest,seasonal_son,IRN
2015,0.00011570668830554199,Cem_Forest_NonForest,seasonal_son,IRN
2016,0.002052824405545227,Cem_Forest_NonForest,seasonal_son,IRN
2017,0.011601625799751037,Cem_Forest_NonForest,seasonal_son,IRN
2018,0.003716912813589447,Cem_Forest_NonForest,seasonal_son,IRN
2019,0.0,Cem_Forest_NonForest,seasonal_son,IRN
2020,0.0017034904547249758,Cem_Forest_NonForest,seasonal_son,IRN
