year,sum,variable,timescale,region
2002,0.00011584940907287598,Cem_Forest_NonForest,seasonal_son,ML
2003,0.0,Cem_Forest_NonForest,seasonal_son,ML
2004,0.0,Cem_Forest_NonForest,seasonal_son,ML
2005,9.22567555830078e-05,Cem_Forest_NonForest,seasonal_son,ML
2006,0.0,Cem_Forest_NonForest,seasonal_son,ML
2007,0.0,Cem_Forest_NonForest,seasonal_son,ML
2008,0.0,Cem_Forest_NonForest,seasonal_son,ML
2009,0.002520961047103164,Cem_Forest_NonForest,seasonal_son,ML
2010,0.0,Cem_Forest_NonForest,seasonal_son,ML
2011,0.0,Cem_Forest_NonForest,seasonal_son,ML
2012,0.0,Cem_Forest_NonForest,seasonal_son,ML
2013,0.0001214523211476288,Cem_Forest_NonForest,seasonal_son,ML
2014,8.432077176397706e-05,Cem_Forest_NonForest,seasonal_son,ML
2015,0.0,Cem_Forest_NonForest,seasonal_son,ML
2016,0.0,Cem_Forest_NonForest,seasonal_son,ML
2017,0.0,Cem_Forest_NonForest,seasonal_son,ML
2018,0.0,Cem_Forest_NonForest,seasonal_son,ML
2019,0.0,Cem_Forest_NonForest,seasonal_son,ML
2020,0.0,Cem_Forest_NonForest,seasonal_son,ML
