year,sum,variable,timescale,country
2002,0.004032051922476334,Cem_Forest_NonForest,seasonal_son,RWA
2003,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2004,0.0006630708196634521,Cem_Forest_NonForest,seasonal_son,RWA
2005,0.0009850239587464598,Cem_Forest_NonForest,seasonal_son,RWA
2006,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2007,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2008,0.0013179304326126709,Cem_Forest_NonForest,seasonal_son,RWA
2009,0.0005513973276077271,Cem_Forest_NonForest,seasonal_son,RWA
2010,0.012838165926960356,Cem_Forest_NonForest,seasonal_son,RWA
2011,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2012,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2013,0.01491379423394397,Cem_Forest_NonForest,seasonal_son,RWA
2014,0.0005471292204066162,Cem_Forest_NonForest,seasonal_son,RWA
2015,0.0008632539209951477,Cem_Forest_NonForest,seasonal_son,RWA
2016,0.0025976980477375186,Cem_Forest_NonForest,seasonal_son,RWA
2017,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2018,0.00022345424711572265,Cem_Forest_NonForest,seasonal_son,RWA
2019,0.0,Cem_Forest_NonForest,seasonal_son,RWA
2020,0.0,Cem_Forest_NonForest,seasonal_son,RWA
