year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2003,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2004,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2005,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2006,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2007,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2008,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2009,0.0004289697511543274,Cem_Forest_NonForest,seasonal_son,SLO
2010,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2011,0.007207468867765563,Cem_Forest_NonForest,seasonal_son,SLO
2012,0.0023375984641786198,Cem_Forest_NonForest,seasonal_son,SLO
2013,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2014,0.00029756019995562746,Cem_Forest_NonForest,seasonal_son,SLO
2015,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2016,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2017,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2018,0.0006951510541587524,Cem_Forest_NonForest,seasonal_son,SLO
2019,0.0,Cem_Forest_NonForest,seasonal_son,SLO
2020,0.0,Cem_Forest_NonForest,seasonal_son,SLO
