year,sum,variable,timescale,region
2002,7.03126508372655,Cem_Forest_NonForest,seasonal_son,TZ
2003,6.566697335340845,Cem_Forest_NonForest,seasonal_son,TZ
2004,2.3003628856049243,Cem_Forest_NonForest,seasonal_son,TZ
2005,6.706369757373837,Cem_Forest_NonForest,seasonal_son,TZ
2006,4.792253385193683,Cem_Forest_NonForest,seasonal_son,TZ
2007,5.783968470416679,Cem_Forest_NonForest,seasonal_son,TZ
2008,6.308398238628417,Cem_Forest_NonForest,seasonal_son,TZ
2009,9.033980994962862,Cem_Forest_NonForest,seasonal_son,TZ
2010,7.754321005132551,Cem_Forest_NonForest,seasonal_son,TZ
2011,2.61183295144678,Cem_Forest_NonForest,seasonal_son,TZ
2012,6.438437699216581,Cem_Forest_NonForest,seasonal_son,TZ
2013,3.7891607077955283,Cem_Forest_NonForest,seasonal_son,TZ
2014,2.184116249801514,Cem_Forest_NonForest,seasonal_son,TZ
2015,6.0578870590696035,Cem_Forest_NonForest,seasonal_son,TZ
2016,6.7732484172680065,Cem_Forest_NonForest,seasonal_son,TZ
2017,4.227082503677555,Cem_Forest_NonForest,seasonal_son,TZ
2018,2.868499073820085,Cem_Forest_NonForest,seasonal_son,TZ
2019,3.5081135395122143,Cem_Forest_NonForest,seasonal_son,TZ
2020,3.9521499580562214,Cem_Forest_NonForest,seasonal_son,TZ
