year,sum,variable,timescale,region
2002,23.219958801969796,Cem_Forest_NonForest,yearly,CA
2003,16.36872100652101,Cem_Forest_NonForest,yearly,CA
2004,22.057869968299922,Cem_Forest_NonForest,yearly,CA
2005,6.928260276996387,Cem_Forest_NonForest,yearly,CA
2006,30.468865686846737,Cem_Forest_NonForest,yearly,CA
2007,11.87432242486788,Cem_Forest_NonForest,yearly,CA
2008,9.491809395131405,Cem_Forest_NonForest,yearly,CA
2009,7.150712140240585,Cem_Forest_NonForest,yearly,CA
2010,34.50764120366019,Cem_Forest_NonForest,yearly,CA
2011,22.176429686852202,Cem_Forest_NonForest,yearly,CA
2012,24.5389464778849,Cem_Forest_NonForest,yearly,CA
2013,58.74214431476441,Cem_Forest_NonForest,yearly,CA
2014,35.45473895583761,Cem_Forest_NonForest,yearly,CA
2015,80.72298339394683,Cem_Forest_NonForest,yearly,CA
2016,15.95656728303281,Cem_Forest_NonForest,yearly,CA
2017,41.517995658011316,Cem_Forest_NonForest,yearly,CA
2018,38.62519344088856,Cem_Forest_NonForest,yearly,CA
2019,22.88090360182429,Cem_Forest_NonForest,yearly,CA
2020,1.518922597944549,Cem_Forest_NonForest,yearly,CA
