year,sum,variable,timescale,region
2002,0.43026649668729017,Cem_Forest_NonForest,yearly,MY
2003,0.71611957564226,Cem_Forest_NonForest,yearly,MY
2004,0.5518019764433352,Cem_Forest_NonForest,yearly,MY
2005,0.921275648906313,Cem_Forest_NonForest,yearly,MY
2006,0.2509006078245707,Cem_Forest_NonForest,yearly,MY
2007,0.2179017725051927,Cem_Forest_NonForest,yearly,MY
2008,0.19655944388074492,Cem_Forest_NonForest,yearly,MY
2009,1.1100878834335102,Cem_Forest_NonForest,yearly,MY
2010,1.7119929074808349,Cem_Forest_NonForest,yearly,MY
2011,0.07492593706957817,Cem_Forest_NonForest,yearly,MY
2012,0.1283085249518776,Cem_Forest_NonForest,yearly,MY
2013,0.2286242199754565,Cem_Forest_NonForest,yearly,MY
2014,0.7943606594304891,Cem_Forest_NonForest,yearly,MY
2015,0.402122358422377,Cem_Forest_NonForest,yearly,MY
2016,1.092101360263428,Cem_Forest_NonForest,yearly,MY
2017,0.002172811707763786,Cem_Forest_NonForest,yearly,MY
2018,0.13882846327765114,Cem_Forest_NonForest,yearly,MY
2019,0.6007239027829941,Cem_Forest_NonForest,yearly,MY
2020,0.16616833901435624,Cem_Forest_NonForest,yearly,MY
