year,sum,variable,timescale,country
2002,8.668593076368179,Cem_Forest_NonForest,yearly,USA
2003,8.016768604364687,Cem_Forest_NonForest,yearly,USA
2004,19.66298210582098,Cem_Forest_NonForest,yearly,USA
2005,16.4262369705581,Cem_Forest_NonForest,yearly,USA
2006,7.468794521262439,Cem_Forest_NonForest,yearly,USA
2007,12.905326213822846,Cem_Forest_NonForest,yearly,USA
2008,7.93321268714782,Cem_Forest_NonForest,yearly,USA
2009,14.911732598063509,Cem_Forest_NonForest,yearly,USA
2010,3.7302403614748303,Cem_Forest_NonForest,yearly,USA
2011,5.750068501557461,Cem_Forest_NonForest,yearly,USA
2012,7.483322162641897,Cem_Forest_NonForest,yearly,USA
2013,8.74967021646449,Cem_Forest_NonForest,yearly,USA
2014,5.090962287314226,Cem_Forest_NonForest,yearly,USA
2015,31.367962411392835,Cem_Forest_NonForest,yearly,USA
2016,5.45449493746208,Cem_Forest_NonForest,yearly,USA
2017,18.087194777842452,Cem_Forest_NonForest,yearly,USA
2018,11.65272317873534,Cem_Forest_NonForest,yearly,USA
2019,12.597173389892813,Cem_Forest_NonForest,yearly,USA
2020,34.92025960334656,Cem_Forest_NonForest,yearly,USA
