year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,yearly_jj,CZ
2003,0.0024168890027224123,Cem_Forest_NonForest,yearly_jj,CZ
2004,0.00015857768831982423,Cem_Forest_NonForest,yearly_jj,CZ
2005,0.00025464386372399904,Cem_Forest_NonForest,yearly_jj,CZ
2006,0.0,Cem_Forest_NonForest,yearly_jj,CZ
2007,0.0,Cem_Forest_NonForest,yearly_jj,CZ
2008,0.00022678276284783937,Cem_Forest_NonForest,yearly_jj,CZ
2009,0.0002796073326514892,Cem_Forest_NonForest,yearly_jj,CZ
2010,0.0004692905529617615,Cem_Forest_NonForest,yearly_jj,CZ
2011,0.00117314049545932,Cem_Forest_NonForest,yearly_jj,CZ
2012,0.00040199093035725404,Cem_Forest_NonForest,yearly_jj,CZ
2013,0.0009089217011360778,Cem_Forest_NonForest,yearly_jj,CZ
2014,0.0,Cem_Forest_NonForest,yearly_jj,CZ
2015,0.0019634053111887515,Cem_Forest_NonForest,yearly_jj,CZ
2016,0.0,Cem_Forest_NonForest,yearly_jj,CZ
2017,0.0012172991421765746,Cem_Forest_NonForest,yearly_jj,CZ
2018,0.0008705028812157592,Cem_Forest_NonForest,yearly_jj,CZ
2019,0.0,Cem_Forest_NonForest,yearly_jj,CZ
2020,0.0003902497168825989,Cem_Forest_NonForest,yearly_jj,CZ
