year,sum,variable,timescale,region
2002,19.11827631950432,Cem_Forest_NonForest,yearly_jj,DRC
2003,74.41206781441855,Cem_Forest_NonForest,yearly_jj,DRC
2004,51.73941723902953,Cem_Forest_NonForest,yearly_jj,DRC
2005,48.32374010240068,Cem_Forest_NonForest,yearly_jj,DRC
2006,46.41716714421313,Cem_Forest_NonForest,yearly_jj,DRC
2007,44.314178328530744,Cem_Forest_NonForest,yearly_jj,DRC
2008,44.1990643536835,Cem_Forest_NonForest,yearly_jj,DRC
2009,29.335280493044156,Cem_Forest_NonForest,yearly_jj,DRC
2010,42.79329627543499,Cem_Forest_NonForest,yearly_jj,DRC
2011,47.95759646763786,Cem_Forest_NonForest,yearly_jj,DRC
2012,50.55649159753921,Cem_Forest_NonForest,yearly_jj,DRC
2013,34.556649957340866,Cem_Forest_NonForest,yearly_jj,DRC
2014,33.65361213684111,Cem_Forest_NonForest,yearly_jj,DRC
2015,27.935147166023075,Cem_Forest_NonForest,yearly_jj,DRC
2016,46.66893697177885,Cem_Forest_NonForest,yearly_jj,DRC
2017,40.35562757013554,Cem_Forest_NonForest,yearly_jj,DRC
2018,36.17289957710847,Cem_Forest_NonForest,yearly_jj,DRC
2019,51.81526642273284,Cem_Forest_NonForest,yearly_jj,DRC
2020,44.20440364401426,Cem_Forest_NonForest,yearly_jj,DRC
