year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,yearly_jj,MA
2003,0.0006073677729536133,Cem_Forest_NonForest,yearly_jj,MA
2004,0.0006498305106812095,Cem_Forest_NonForest,yearly_jj,MA
2005,0.0010647712940256347,Cem_Forest_NonForest,yearly_jj,MA
2006,0.0008459719184933472,Cem_Forest_NonForest,yearly_jj,MA
2007,0.0036677978912186887,Cem_Forest_NonForest,yearly_jj,MA
2008,0.0,Cem_Forest_NonForest,yearly_jj,MA
2009,0.0008352281770335694,Cem_Forest_NonForest,yearly_jj,MA
2010,0.0003611858062539063,Cem_Forest_NonForest,yearly_jj,MA
2011,0.0,Cem_Forest_NonForest,yearly_jj,MA
2012,0.00019213254706903075,Cem_Forest_NonForest,yearly_jj,MA
2013,0.0027337426481908573,Cem_Forest_NonForest,yearly_jj,MA
2014,0.0,Cem_Forest_NonForest,yearly_jj,MA
2015,0.005443917855847351,Cem_Forest_NonForest,yearly_jj,MA
2016,0.0016777862718187254,Cem_Forest_NonForest,yearly_jj,MA
2017,0.0023794601936400757,Cem_Forest_NonForest,yearly_jj,MA
2018,0.002242418961821777,Cem_Forest_NonForest,yearly_jj,MA
2019,0.0,Cem_Forest_NonForest,yearly_jj,MA
2020,0.0031253706972951658,Cem_Forest_NonForest,yearly_jj,MA
