year,sum,variable,timescale,country
2002,0.0008946752724026947,Cem_Forest_NonForest,yearly_jj,MLI
2003,0.002609860528222244,Cem_Forest_NonForest,yearly_jj,MLI
2004,0.00011419656703643799,Cem_Forest_NonForest,yearly_jj,MLI
2005,0.002958501024635757,Cem_Forest_NonForest,yearly_jj,MLI
2006,0.0016642531688860474,Cem_Forest_NonForest,yearly_jj,MLI
2007,0.004211094726033432,Cem_Forest_NonForest,yearly_jj,MLI
2008,0.002028582024528382,Cem_Forest_NonForest,yearly_jj,MLI
2009,0.10104366489923657,Cem_Forest_NonForest,yearly_jj,MLI
2010,0.02482601472394666,Cem_Forest_NonForest,yearly_jj,MLI
2011,0.0007530006333774568,Cem_Forest_NonForest,yearly_jj,MLI
2012,0.0017139065242580186,Cem_Forest_NonForest,yearly_jj,MLI
2013,0.02105430786298269,Cem_Forest_NonForest,yearly_jj,MLI
2014,0.004921378691027612,Cem_Forest_NonForest,yearly_jj,MLI
2015,0.011650227928943071,Cem_Forest_NonForest,yearly_jj,MLI
2016,0.0005338085402221833,Cem_Forest_NonForest,yearly_jj,MLI
2017,0.0,Cem_Forest_NonForest,yearly_jj,MLI
2018,0.008984340540242143,Cem_Forest_NonForest,yearly_jj,MLI
2019,0.00523805800263063,Cem_Forest_NonForest,yearly_jj,MLI
2020,0.0004768659012371521,Cem_Forest_NonForest,yearly_jj,MLI
