year,sum,variable,timescale,region
2002,2.3931253357879134,Cem_Forest_NonForest,yearly_jj,TH
2003,1.0822438058788706,Cem_Forest_NonForest,yearly_jj,TH
2004,4.174099324340244,Cem_Forest_NonForest,yearly_jj,TH
2005,3.776484216940504,Cem_Forest_NonForest,yearly_jj,TH
2006,1.4947699067863625,Cem_Forest_NonForest,yearly_jj,TH
2007,5.84945180695028,Cem_Forest_NonForest,yearly_jj,TH
2008,1.9496014619733744,Cem_Forest_NonForest,yearly_jj,TH
2009,3.3440863677786,Cem_Forest_NonForest,yearly_jj,TH
2010,2.142467038486122,Cem_Forest_NonForest,yearly_jj,TH
2011,1.054759069818572,Cem_Forest_NonForest,yearly_jj,TH
2012,1.9045236505836918,Cem_Forest_NonForest,yearly_jj,TH
2013,1.2183181002690635,Cem_Forest_NonForest,yearly_jj,TH
2014,3.740329479646505,Cem_Forest_NonForest,yearly_jj,TH
2015,3.096397631224236,Cem_Forest_NonForest,yearly_jj,TH
2016,3.933600355291134,Cem_Forest_NonForest,yearly_jj,TH
2017,2.506402573379633,Cem_Forest_NonForest,yearly_jj,TH
2018,0.9003394138771892,Cem_Forest_NonForest,yearly_jj,TH
2019,1.9749717892171423,Cem_Forest_NonForest,yearly_jj,TH
2020,4.960785096139232,Cem_Forest_NonForest,yearly_jj,TH
