year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2002,0.0,0.0023639429410151065,0.002875832555191345,0.0001135444582131958,0.0,0.00013539587385583498,0.0063088598852878335,0.06565812786673098,0.021817211599350864,0.005760060527372253,0.000401316536133667,0.0,Cem_Total,monthly,BGR
2003,0.00030303259867741397,0.0,0.014769055360548844,0.0,0.0,0.001661388593778107,0.034970896036533874,0.06600476833269209,0.17712655369509772,0.0,0.0,0.0,Cem_Total,monthly,BGR
2004,0.0,0.001137047914140564,0.002068189866888382,0.0,0.0,0.010557226485456433,0.12994233054534698,0.4248333860337939,0.13579136524738258,0.0033153143882394412,0.0027403040352831417,0.0007053731216439819,Cem_Total,monthly,BGR
2005,0.004789796117639038,0.0,0.01179106594793669,0.00024519024839379886,0.0,0.0,0.10531706298901373,0.35355790152697053,0.060678566771488404,0.01375249309865494,0.0,0.0,Cem_Total,monthly,BGR
2006,0.022793622422592127,6.003489283816528e-05,0.12158159220646456,0.0,0.0,0.010480640016764527,0.2037841911692549,0.545740577423948,0.04261858783076361,0.008585528018906037,0.044395068489814116,0.004277756619180602,Cem_Total,monthly,BGR
2007,0.028992397891129867,0.0009109858728500975,0.01557660059561058,0.00011646819283245851,0.0,0.024999456221495575,0.43883681337490804,0.06299504400952413,0.013986232740035675,0.002306565564995254,0.0,0.0,Cem_Total,monthly,BGR
2008,0.0003250302056304321,0.04238669566477232,0.000269342215385849,0.0,0.0006038692169673461,0.001994612218363037,0.054792579540885004,0.3038285956968484,0.1054635628964168,0.024927740463706702,0.010571916195106295,0.0,Cem_Total,monthly,BGR
2009,0.0,0.0,0.0055699390373349,0.0012661623733078004,0.0007987673387147218,0.0012285224596947936,0.0123233803948454,0.12126357721948999,0.057350950739221765,0.0016816513348140104,0.0023866061464421842,0.0,Cem_Total,monthly,BGR
2010,0.0,0.0,0.002023677954216065,0.0,0.0,0.0,0.002239720985864044,0.06817218767847534,0.06747985227654327,0.10273670355435374,0.043895181357873306,0.0,Cem_Total,monthly,BGR
2011,0.0,0.07916647684530084,0.012640689021637924,8.801823140856933e-05,0.0,0.008196812013826417,0.02317086401750908,0.04880429532355221,0.11635491576225054,0.15842585089875902,0.045321870437713546,0.0,Cem_Total,monthly,BGR
2012,0.0,0.0,0.01370934892666957,0.0,0.0,0.006737613712076264,0.04955324938960319,0.12697075025424867,0.8168698875883048,0.04885391661728865,0.0037304453081140137,0.0,Cem_Total,monthly,BGR
2013,0.0,0.0,0.0,0.0,0.0,0.0015259110231427308,0.006273205738882234,0.023850324233012407,0.13181767981796022,0.14281821839017497,0.00040738435378094486,0.0002982144807304078,Cem_Total,monthly,BGR
2014,0.0,0.0015377332791946558,0.0011787020586795656,0.0,0.0,0.0,0.0025670237626127775,0.08962996387969986,0.06497563490361305,0.02418788576163869,0.007229968571690186,0.0007845503523545227,Cem_Total,monthly,BGR
2015,0.0,0.0,0.0,0.0075173851560968626,0.0,0.0025602203043253485,0.008206615336251328,0.19447736055259843,0.0034620139647174833,0.009141430902970978,0.01758390098523483,0.0,Cem_Total,monthly,BGR
2016,0.0,4.4839703990966795e-05,0.0,0.0,0.0,0.01629913960539537,0.04030526666891904,0.09697662037604561,0.20381114683865129,0.006451417201820037,0.002662140477906707,0.0007830641160103149,Cem_Total,monthly,BGR
2017,0.0,0.008947705940893731,4.6214366137939454e-05,0.0,0.0,0.016667156290824867,0.016487861295563507,0.11265752043228351,0.11767951043808975,0.14765632776826926,0.0027991319739973904,0.0,Cem_Total,monthly,BGR
2018,0.0,0.0,0.0,0.0,0.0,0.002622880052933471,0.004053972886362351,0.03775138537197917,0.10296609938506439,0.13604843619662366,0.002947537163738022,0.0007129584922981567,Cem_Total,monthly,BGR
2019,0.002296007109973541,0.0008148585524307098,0.002174863173234207,0.0,0.0,0.0028100141283025513,0.006307813045534118,0.0837691250250247,0.6352851246138761,0.3908618099945334,0.01437204156017797,0.001330638180876831,Cem_Total,monthly,BGR
2020,0.0001356802555828247,0.003678273638718353,0.00040343065619104007,0.0,0.00015013028841784668,0.020680887514228453,0.002399667291501862,0.010372209395550674,0.053101922691492505,0.011055518106376784,0.00016241692668048094,0.0,Cem_Total,monthly,BGR
