year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2002,0.0,0.0,0.0,0.0,0.0,0.0,4.083272489714051e-05,0.00834773077625978,0.0041369418358161245,0.003165499215971253,0.0005935547728505097,0.0,Cem_Total,monthly,ECU
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002404318542075729,0.015152849209894381,0.006958955709335355,0.0004938859055426484,0.006574485195684352,0.010092360487262256,Cem_Total,monthly,ECU
2004,0.00020500031320855712,0.0017062545574482114,0.0,0.0,0.0,0.0,0.000825773976192337,0.02018830145707888,0.004282494992324093,0.002537091686318985,0.013095945850534838,0.011455096882566044,Cem_Total,monthly,ECU
2005,0.003472958497209137,0.002049194446490906,0.0,0.0,0.0,0.0026920455650858302,0.00299559418951894,0.020841803839918373,0.04013457170549138,0.002044737468232164,0.01459879140193205,0.04763921235042748,Cem_Total,monthly,ECU
2006,4.9715617437561034e-05,0.0013374190593728943,0.0,0.0,0.0,0.00225281666299057,0.001428609946093643,0.0009010762850793762,0.007318037768726639,0.025334413980926576,0.007997751265794332,0.010236669042758904,Cem_Total,monthly,ECU
2007,0.0,0.0,0.0,0.0,0.0,0.00035412362732354735,0.00029573405973773193,0.00048662505519577023,0.015418116643640893,0.0035180179481516436,0.025324169153744358,0.03457451486325151,Cem_Total,monthly,ECU
2008,0.0,0.00045200035984753413,0.00014837845249383543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000969662862567955,0.005964253590960129,Cem_Total,monthly,ECU
2009,0.0,0.0,0.0,0.0005066673987577515,0.00231991657726796,4.4485590843963624e-05,0.0,0.002784457088570984,0.027436582704255405,0.012953362498387778,0.03036779810869523,0.01584313580926596,Cem_Total,monthly,ECU
2010,0.0099145033222836,0.0,0.0,0.0,0.0,0.0,5.0668499025680536e-05,0.004656598513878632,0.000566239031342102,0.004167017046660187,0.0013367009546246032,0.00837332769043749,Cem_Total,monthly,ECU
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0020341177271328737,0.0009457593010845336,0.0029409535272265164,0.0065415750181093595,0.07735522075554367,0.0051130161533556266,Cem_Total,monthly,ECU
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.003986377276482575,0.025621333760040273,0.18782016765373288,0.0008051466482310791,0.012574213154177383,0.007088952806757419,Cem_Total,monthly,ECU
2013,0.00034278220339842226,0.0,0.0,0.0003506466338441162,0.0,0.0,8.067714642422485e-05,0.00021341638663481137,0.004224392219653893,0.0032378159104728904,0.011091911260110972,0.04942183463177215,Cem_Total,monthly,ECU
2014,0.0005689017981336365,0.0,0.0001570792511032715,0.0,0.0,0.0,0.00022420319095904542,0.013484725967641407,0.00631835229317717,0.0013101406237489624,0.007645085884157532,0.007662162079531549,Cem_Total,monthly,ECU
2015,0.0,0.0,0.00048175522583029175,0.0,0.0002923411966702881,0.004350497153751617,0.0008292892339625701,0.0228370569217765,0.055382028183745574,0.0033404435911346363,0.0,0.0,Cem_Total,monthly,ECU
2016,0.0,0.0,0.0,0.0,0.0,0.0006931941111033859,0.002044909855028083,0.010204670644061126,0.0016887678648690033,0.026132381452284366,0.07498562313849472,0.06481803587142859,Cem_Total,monthly,ECU
2017,0.0016629996584575503,0.0,0.0,9.129570627954102e-05,0.0,0.0,0.001545186473186592,0.0026716170459235686,0.004894854766099449,0.002764760566142227,0.006551053620695283,0.01840194948190823,Cem_Total,monthly,ECU
2018,0.00025270503062298585,6.765529602392578e-05,0.0,0.0,0.0,0.000355789075837738,0.002584350067692337,0.006245624767418304,0.00919448660570781,0.005033806695414613,0.031072683028623836,0.009610238832927224,Cem_Total,monthly,ECU
2019,0.0,0.0,0.0012049368323373108,0.0005853215489588623,0.0,0.0,0.004573320609225082,0.009294235120506601,0.07742197540046655,0.002461924993562622,0.018939113981647777,0.05820580828584325,Cem_Total,monthly,ECU
2020,0.0,0.0002155565210454712,0.0,0.0,0.0,0.0005029428551391601,0.0,0.005097674701644676,0.010015786410796859,0.01449227742654921,0.028828086628551314,0.04520367854987664,Cem_Total,monthly,ECU
