year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2002,0.07366055763328143,0.31067198596750817,1.532504742788785,0.4678147587664515,1.141244725164485,0.004909839381955323,0.0,0.004634423111103547,0.37371968651293835,1.1584925994194857,0.15858362476987348,0.05925570241244269,Cem_Total,monthly,IND
2003,0.11941429196229336,0.5492140377654431,4.044902552990503,3.136840947614572,1.4991669884162795,0.472899847501629,0.0,0.0009678668500001221,0.2839617624072608,1.327238624373202,0.23254069460776983,0.03713209929136078,Cem_Total,monthly,IND
2004,0.08396916598128708,0.6924778326245178,10.247299237017724,2.1672608255335097,1.9504765293043804,0.008583806227221298,0.0,0.0057324673141483365,0.15653626467107903,1.4718530409498598,0.27590044394520896,0.04434510094439758,Cem_Total,monthly,IND
2005,0.1231188535310572,1.3546968617178479,2.8592375849254785,2.0492129882776355,1.9888572970730898,0.3425829143996268,0.0,0.0,0.33686483359057107,0.8415987720361711,1.0024400598527112,0.034954742205847565,Cem_Total,monthly,IND
2006,0.501534541399002,1.8707578068883104,4.514810750211497,1.889588955129375,0.6345744197987209,0.016901373198521162,0.0,0.0017873020314227144,0.8915082192261338,1.4015102752471165,0.44365109982031314,0.061036581289712885,Cem_Total,monthly,IND
2007,0.141018052628223,0.6284988121162663,7.854496788888252,3.600745272370556,0.41858913275380166,0.2124194195970312,0.0,0.0,1.0226611776557466,1.4868858415872,0.8276372495188665,0.05627401782621401,Cem_Total,monthly,IND
2008,0.17611861362981934,0.42271126317033747,2.2948156411861738,4.377981349540401,2.419773511575929,0.01989421973809509,0.0,0.0,0.14899732555161904,0.9529744346907728,1.2458568917874835,0.02775834036749555,Cem_Total,monthly,IND
2009,0.2928912459797719,5.029871054412511,13.887570817930932,4.960435776591492,1.066131302938005,0.25434315022330534,0.0015549590309319804,0.0,0.08737807448382526,1.2976466374824076,2.3708145986172213,0.02411381048311662,Cem_Total,monthly,IND
2010,0.10602857739276672,0.9970061845277359,13.113982103596644,3.333159067639585,1.3996360495877556,0.007224557350693725,0.0,0.0,0.103510855426221,1.3688472346498395,1.3149907926453037,0.1355197985185772,Cem_Total,monthly,IND
2011,0.06236484170538182,0.4745885308325249,7.063233839039728,2.394293348379389,0.65364097877238,0.028964436888660485,0.0,0.0,0.0720548476403098,1.6746906705319655,1.8900394662644013,0.03663919127510578,Cem_Total,monthly,IND
2012,0.07918050928304049,5.491031532447193,10.294924651354188,2.203654169735214,2.227634466373806,0.22887049773454143,0.0,0.00885637880837262,0.0739335368698351,1.2678140610161899,1.756405200314216,0.22543974886174822,Cem_Total,monthly,IND
2013,0.043810642772734366,0.3561818245022127,3.5313783379355113,5.683288383911083,2.0685343196062727,0.0019301826563525085,0.0,0.0009510552778090211,0.04213054796052988,1.37402346869735,1.4180197352714687,0.058996741589780785,Cem_Total,monthly,IND
2014,0.06147755655533016,0.19659094678746078,4.006473649756752,5.252480319213337,0.48781601565448046,0.4869065738261494,0.0,0.0,0.06677910185772158,1.0895403254094023,2.872112218660873,0.046496936283982826,Cem_Total,monthly,IND
2015,0.08893242532580345,0.6547853238630841,4.2201965392744665,1.652122428242927,0.6195736726083377,0.048092882586103086,0.0,0.0,0.07002664298459255,0.6506166853556524,3.4831005175365517,0.06371641020922814,Cem_Total,monthly,IND
2016,0.1119703522935969,1.3592820970730155,3.7040061415003596,4.726875224308527,1.2947749169372584,0.03160864443934825,0.0,0.0,0.19189556596579627,1.2961120490140416,2.8981547521481215,0.07114751465548587,Cem_Total,monthly,IND
2017,0.06708567825701427,2.2004014797496465,4.274406416994853,9.979461809106459,1.797628347013284,0.051873357432658536,0.0,0.0,0.06591405390312048,1.6441844535858035,1.4126126719448941,0.04717101614129957,Cem_Total,monthly,IND
2018,0.11546360930771087,1.8604944226952553,8.537675987509207,2.370854640280324,1.6284863704320205,0.019212469682169026,0.0,0.0,0.030642868775527167,1.098859392030701,2.864528052023863,0.1524599192290921,Cem_Total,monthly,IND
2019,0.10667876158727467,0.6690734641137276,2.4664267260380863,4.080953568184161,1.7693962919403936,0.28199017475112653,5.239077809111023e-05,0.000943808394680618,0.055805757144225705,1.6407803659991536,2.149877006712738,0.13918261663683237,Cem_Total,monthly,IND
2020,0.023943709260994504,0.14703988347689373,2.3138802768969504,2.490990618368085,2.021394707830019,0.038711045169449475,0.0,0.0,0.23604289662336553,1.7432567060757922,2.1848235428195566,0.12673584762849638,Cem_Total,monthly,IND
