year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2002,0.0002983211598591537,0.14049600290237865,2.8190400386177275,0.00803085494025032,0.00022621841853019713,0.38511608253639884,2.106157910124387,2.6120299858545937,0.34547596675556375,0.005262355055331223,0.027786277130953056,0.000500981120869915,Cem_Total,monthly,UKR
2003,0.0,0.0,0.09015323283045831,1.1517110419538719,0.019252837460606007,0.008722943086434287,0.017285087510363527,0.0827297269938643,0.24635594541016995,0.09417263691324339,0.004586292127755947,0.0,Cem_Total,monthly,UKR
2004,0.0,0.0011867396286626662,0.09071016441038589,0.6244131057990722,0.00022454664715106202,0.016748074528776344,0.5098852901714327,1.8076559765074793,1.3381157489112614,0.25434524965161526,0.004796626139809662,0.000231187493651123,Cem_Total,monthly,UKR
2005,0.0008106710593043824,0.0006685743355162355,1.9722413497053155,3.236344764923202,0.008599223328020676,0.09579807872122077,2.0900799926688474,2.0005299797882246,1.6935721209911554,1.6919173347890502,0.005636743523679963,0.0,Cem_Total,monthly,UKR
2006,0.0,0.0014695648105546874,0.46152907847910846,0.38234790459627466,0.005300418048094589,0.11062730201972353,2.7837943510093166,2.1844231249263273,0.967428884998414,0.3921686965507688,0.0077161486924732445,0.0011545938251092988,Cem_Total,monthly,UKR
2007,0.0077293061802657945,0.07748280635197782,4.5042823124673355,0.01598820706944403,0.01559640153526373,0.5071526714280231,2.195740046936128,1.9626495851078272,0.38581723459084727,0.11908934122343047,0.0007115474728600006,0.0032632800489844054,Cem_Total,monthly,UKR
2008,0.0008106746574168701,0.07266209799540442,0.07677050174302655,0.003967729253845795,0.0024782615740176926,0.13079236281111992,3.353973544266558,13.466867352686176,3.9684590263987065,0.3121540151671712,0.11615042674164429,0.0,Cem_Total,monthly,UKR
2009,0.0,0.004302527579276962,1.9336926550516116,1.7993994653926189,0.01809967328825103,0.17627669103126348,2.323081565309084,2.8613399261956785,1.0931822475449915,0.39290066921862565,0.0022919859837556155,0.0,Cem_Total,monthly,UKR
2010,0.0,0.0,0.8969502228055887,0.08085297519254064,0.001320655270115631,0.06884182640272121,1.3449973134348652,1.82062029061417,0.9319672547391517,0.450070163595223,0.11681501644398072,0.0,Cem_Total,monthly,UKR
2011,0.0,0.01149283453808703,0.7168537859071731,0.1435476725984483,0.004312984783413268,0.13200458333527637,0.7455813720199133,1.4671709500925614,0.6206052324630074,1.3188492417004058,0.20695986985105952,0.0012031202892667237,Cem_Total,monthly,UKR
2012,0.0,0.08209741424137489,0.7085451104307645,0.13822853445793262,0.00874315616534033,0.051710573429404195,0.49887814891724286,0.2972766339370938,0.3169132468647793,0.26495524565861645,0.005590292728841461,0.0,Cem_Total,monthly,UKR
2013,0.0,0.05877215120266593,0.08866439160654692,0.3945669855730159,0.013681243209751432,0.13301738640863495,0.5116270145284465,1.1152820356794888,0.08392194030348522,0.45831617363146354,0.016034664180605455,0.0,Cem_Total,monthly,UKR
2014,0.0,0.6466891977991112,0.8379757308137069,0.02278316398855556,0.0018823883320353357,0.36765764541651075,2.491780907830885,2.588830048136319,1.7828943906549515,4.1022456604899125,0.35055847961427744,0.0,Cem_Total,monthly,UKR
2015,0.0,0.48235348854565824,0.9360981771903677,0.1412015370203394,0.0021730764552451327,0.15579905870316385,2.1570092679661688,2.81295006754192,1.638557478251024,3.422798634254298,0.25476709426995486,0.007838280153264179,Cem_Total,monthly,UKR
2016,0.000262712336586853,0.009286498759968391,0.30151795456128666,0.02956982186939152,0.0,0.3249558256208126,2.165420179670271,2.603258951460134,0.6547593033194082,0.5494204566363399,0.01014912165544397,0.0,Cem_Total,monthly,UKR
2017,8.337233548028564e-05,0.2225582093217361,2.158828355039667,0.22508568855057368,0.007681215588184127,0.3312264657092303,4.039733875461282,3.4270217591704872,1.0231561786985333,0.45530161808994807,0.0012128357948498535,0.0,Cem_Total,monthly,UKR
2018,0.0,0.0,1.6487057997140542,0.39992378705862525,0.012099239657306107,0.2990728175183067,0.5239727492953643,0.7245366973491485,0.6160468901435021,0.6724001950156376,0.2163012490850644,0.0,Cem_Total,monthly,UKR
2019,0.0016356937168991552,0.06056147437728381,1.541843509533896,0.3911429887382116,0.002149994354291214,0.5657683268519601,1.1324409961780633,1.1816276289740444,0.6011886739897327,5.888253074421556,0.06727563296308926,0.0045921381405766674,Cem_Total,monthly,UKR
2020,0.0018142151899378967,0.3225702918909796,1.3469896251844717,1.1205424400892792,0.0012813812082960664,0.1467269551047443,0.9274686881625215,0.9765349766507446,0.5912992968978128,1.1553762862732442,0.07117879434920478,0.0,Cem_Total,monthly,UKR
