year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2002,0.03521492823405899,0.06835089861830468,0.4939720308479646,1.7269997945281883,5.098354489676848,7.015935027997131,16.574227343940166,27.08026899854015,28.223476428965835,14.131013239377992,0.22876770215859124,0.00723654190124492,Cem_Total,monthly,ZMB
2003,0.004559318824337272,0.004173164822544472,0.009429668323143991,0.07032419634281904,2.4597501909439856,4.819537567431146,13.44007201238647,38.53515942488362,31.285369731828325,15.401687659333271,0.4547615500119702,0.0007682859434939345,Cem_Total,monthly,ZMB
2004,0.007932153741137397,0.0049330635887264405,0.00022298449881089018,0.03196300938389883,1.6414574800241124,6.714288337831345,13.112549470799586,29.803716905463347,33.63534075405639,11.431609447615761,0.3493176257104153,0.0011825847687810976,Cem_Total,monthly,ZMB
2005,0.0021418751971074524,0.0041058027301651544,0.054482709708274686,2.1619371181552616,11.073993421077725,11.096404243056096,14.027657851804763,32.78946424653509,20.61109894968207,10.531368242489988,0.48897981020608117,0.0011061054355240173,Cem_Total,monthly,ZMB
2006,0.004437364833085022,0.0002663456320727539,0.0,0.0174662338309947,0.6539722630184228,4.620900496492135,12.62604876778192,24.787720474182073,23.212987148958984,13.68877048565469,0.8419529821153026,0.006552584800735473,Cem_Total,monthly,ZMB
2007,0.0037123335440736502,0.0026640991905792152,0.0020161468782615775,0.13048153425244194,2.8210608750914026,9.276270242773304,11.566164492551781,24.62416184600813,29.32507573250238,8.58943352239066,0.19272012315847561,0.00043883807511683657,Cem_Total,monthly,ZMB
2008,0.0020381199141950683,0.007866672244772971,0.005643531300738969,0.0988774284509242,2.258783799818167,8.545056045933178,12.911730119400673,19.153861652111015,42.460017924198,7.606053184049931,0.07001103948234909,0.001567217354502594,Cem_Total,monthly,ZMB
2009,8.240203412120818e-05,0.007844722881148639,0.0125507715919729,0.04545665394553407,1.155636328802392,6.397014476274704,9.573085263270453,23.198226970136275,28.82219827449866,7.044855256722504,0.06059602601868227,0.0016351398839764939,Cem_Total,monthly,ZMB
2010,0.007735178919702522,0.0004606877522169419,0.0,0.03828978410117081,0.8276017110065965,6.11203437402421,9.787601592447515,29.427228654397137,35.70296504320035,9.113912519932072,0.32260822134634,0.00034075156936380006,Cem_Total,monthly,ZMB
2011,0.000495520066833252,0.0,0.001736574951854721,0.07293771902666035,1.1229226953186857,7.698283037562334,15.149410312719208,21.96592348992087,36.2062732833536,4.651341964446082,0.19394789388088338,0.008269621004123017,Cem_Total,monthly,ZMB
2012,0.004554727865044654,2.2781766504562375e-05,0.015532406646503306,0.3036646192432366,3.1096659034125875,9.407230723273747,13.314394143338982,32.412554729681446,24.21471789057468,5.820133528582331,0.3902758846160612,0.0004500895658558349,Cem_Total,monthly,ZMB
2013,0.0,0.0017466797286415005,0.024286638146355007,0.6614751658134617,4.380607108120941,8.297330201912352,11.128755771134907,33.104957151162196,26.533201493545555,4.667280056273929,0.5941038955785631,0.004143640764029267,Cem_Total,monthly,ZMB
2014,0.00034141063235717774,3.612545498284912e-05,0.006671502062734546,0.12141561200561157,1.5187288528273175,6.122726541046067,12.831838845874538,28.08937578321425,30.352423693504146,6.273660188133591,0.7429981411275286,0.017390144894578047,Cem_Total,monthly,ZMB
2015,0.0010655836366109926,0.005467338686381881,0.03465808038752441,0.07653693821862131,1.3233560441565801,6.081468674910692,14.403053941510343,36.12956895115938,32.652460544853525,7.104451163657717,0.5214102386411563,0.013149701494298359,Cem_Total,monthly,ZMB
2016,0.007442470506213752,0.0012222223201017075,0.014335408058253868,0.18704980986268788,1.2191171140477155,6.817273348487486,13.048311226037368,33.3723572479217,27.426831871845646,8.146317981765659,0.6766480852044512,0.0018194463123202972,Cem_Total,monthly,ZMB
2017,0.0,0.0,0.013586314539993646,0.006583182109150054,0.15729640239200007,2.7438916959631494,8.985649220315366,29.962914833053468,38.5113692752054,7.083398946361465,0.12064840535234832,0.0006484326513394775,Cem_Total,monthly,ZMB
2018,0.057404404751375475,0.0026257732919138946,0.011025707688808225,0.010843588749306434,0.4251862962614656,2.865610500948397,9.259786170983745,37.17487209211774,33.841485430994844,3.471342491197247,0.6152119854985215,0.012792858134702819,Cem_Total,monthly,ZMB
2019,0.0029067610845799788,0.012619356542133331,0.24822983250390973,0.3289120892790535,3.501027108511695,7.446322437049709,15.962646661763154,33.80204387139279,25.56546797839951,4.110355785225997,0.36741571923102373,0.0026858847247822034,Cem_Total,monthly,ZMB
2020,0.0018650036999168433,0.00015478080056090165,0.0013168652228591998,0.12068678107771624,1.154179560559304,4.418946221263047,13.0542185740614,20.23259463446019,37.56547151115184,4.993586494750952,0.43035918339155627,4.7553083141159054e-05,Cem_Total,monthly,ZMB
