year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_djf,BEL
2003,0.00017062865675653076,Cem_Total,seasonal_djf,BEL
2004,0.0,Cem_Total,seasonal_djf,BEL
2005,0.0,Cem_Total,seasonal_djf,BEL
2006,0.0,Cem_Total,seasonal_djf,BEL
2007,0.0,Cem_Total,seasonal_djf,BEL
2008,0.0,Cem_Total,seasonal_djf,BEL
2009,0.0,Cem_Total,seasonal_djf,BEL
2010,0.0,Cem_Total,seasonal_djf,BEL
2011,0.0,Cem_Total,seasonal_djf,BEL
2012,0.0,Cem_Total,seasonal_djf,BEL
2013,0.0,Cem_Total,seasonal_djf,BEL
2014,0.0,Cem_Total,seasonal_djf,BEL
2015,0.0,Cem_Total,seasonal_djf,BEL
2016,0.0,Cem_Total,seasonal_djf,BEL
2017,0.0,Cem_Total,seasonal_djf,BEL
2018,0.0,Cem_Total,seasonal_djf,BEL
2019,0.0,Cem_Total,seasonal_djf,BEL
2020,0.0,Cem_Total,seasonal_djf,BEL
