year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_djf,ME
2003,0.0,Cem_Total,seasonal_djf,ME
2004,0.0,Cem_Total,seasonal_djf,ME
2005,0.0,Cem_Total,seasonal_djf,ME
2006,0.0,Cem_Total,seasonal_djf,ME
2007,0.0,Cem_Total,seasonal_djf,ME
2008,0.0,Cem_Total,seasonal_djf,ME
2009,0.0,Cem_Total,seasonal_djf,ME
2010,0.0,Cem_Total,seasonal_djf,ME
2011,9.229741752513122e-05,Cem_Total,seasonal_djf,ME
2012,0.0,Cem_Total,seasonal_djf,ME
2013,0.0,Cem_Total,seasonal_djf,ME
2014,0.0,Cem_Total,seasonal_djf,ME
2015,3.577934272961425e-05,Cem_Total,seasonal_djf,ME
2016,0.00010411541472027588,Cem_Total,seasonal_djf,ME
2017,0.0009638580162428589,Cem_Total,seasonal_djf,ME
2018,0.0,Cem_Total,seasonal_djf,ME
2019,0.0,Cem_Total,seasonal_djf,ME
2020,0.00013396404097244262,Cem_Total,seasonal_djf,ME
