year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_djf,MEX
2003,0.4519531405817323,Cem_Total,seasonal_djf,MEX
2004,0.8506141785211934,Cem_Total,seasonal_djf,MEX
2005,1.040211438197447,Cem_Total,seasonal_djf,MEX
2006,0.951124641041952,Cem_Total,seasonal_djf,MEX
2007,0.3765713314888193,Cem_Total,seasonal_djf,MEX
2008,1.101320515123564,Cem_Total,seasonal_djf,MEX
2009,0.6854558332823175,Cem_Total,seasonal_djf,MEX
2010,0.391940956938596,Cem_Total,seasonal_djf,MEX
2011,0.8345578503845614,Cem_Total,seasonal_djf,MEX
2012,0.3363392010973708,Cem_Total,seasonal_djf,MEX
2013,0.5384533053704288,Cem_Total,seasonal_djf,MEX
2014,0.4074148574035055,Cem_Total,seasonal_djf,MEX
2015,0.5333118269529666,Cem_Total,seasonal_djf,MEX
2016,0.911329558856012,Cem_Total,seasonal_djf,MEX
2017,1.1420889916755854,Cem_Total,seasonal_djf,MEX
2018,0.8585278827921274,Cem_Total,seasonal_djf,MEX
2019,0.6422724762430299,Cem_Total,seasonal_djf,MEX
2020,0.5373546178027918,Cem_Total,seasonal_djf,MEX
