year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_djf,TUR
2003,0.00044681681759626765,Cem_Total,seasonal_djf,TUR
2004,7.811224011483002e-05,Cem_Total,seasonal_djf,TUR
2005,0.01508621805648527,Cem_Total,seasonal_djf,TUR
2006,0.019971875583808935,Cem_Total,seasonal_djf,TUR
2007,0.012472086426859897,Cem_Total,seasonal_djf,TUR
2008,0.007892649541589854,Cem_Total,seasonal_djf,TUR
2009,0.030547793858442928,Cem_Total,seasonal_djf,TUR
2010,0.0012996499391759568,Cem_Total,seasonal_djf,TUR
2011,0.007183522154282627,Cem_Total,seasonal_djf,TUR
2012,0.027666582666843582,Cem_Total,seasonal_djf,TUR
2013,0.0022900704410731853,Cem_Total,seasonal_djf,TUR
2014,0.12172373208920309,Cem_Total,seasonal_djf,TUR
2015,0.00606405586564825,Cem_Total,seasonal_djf,TUR
2016,0.045927666922916825,Cem_Total,seasonal_djf,TUR
2017,0.009674349397528686,Cem_Total,seasonal_djf,TUR
2018,0.06692820607832999,Cem_Total,seasonal_djf,TUR
2019,0.01594165632762702,Cem_Total,seasonal_djf,TUR
2020,0.1281568115642919,Cem_Total,seasonal_djf,TUR
