year,sum,variable,timescale,country
2002,4.055348619917029,Cem_Total,seasonal_jja,ARG
2003,6.705064577505799,Cem_Total,seasonal_jja,ARG
2004,7.573386936162646,Cem_Total,seasonal_jja,ARG
2005,3.2920694731174107,Cem_Total,seasonal_jja,ARG
2006,5.791095208255877,Cem_Total,seasonal_jja,ARG
2007,6.42876459985853,Cem_Total,seasonal_jja,ARG
2008,11.625391878711726,Cem_Total,seasonal_jja,ARG
2009,6.089058739551408,Cem_Total,seasonal_jja,ARG
2010,2.654841468648696,Cem_Total,seasonal_jja,ARG
2011,3.636114613293123,Cem_Total,seasonal_jja,ARG
2012,3.2551761214499026,Cem_Total,seasonal_jja,ARG
2013,3.3955901436645934,Cem_Total,seasonal_jja,ARG
2014,1.1810550936181303,Cem_Total,seasonal_jja,ARG
2015,2.075969933167133,Cem_Total,seasonal_jja,ARG
2016,2.8355838231398507,Cem_Total,seasonal_jja,ARG
2017,9.104622627799987,Cem_Total,seasonal_jja,ARG
2018,3.259889577451901,Cem_Total,seasonal_jja,ARG
2019,1.9435200914075819,Cem_Total,seasonal_jja,ARG
2020,13.305335811823378,Cem_Total,seasonal_jja,ARG
