year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_jja,FJI
2003,0.0,Cem_Total,seasonal_jja,FJI
2004,0.0,Cem_Total,seasonal_jja,FJI
2005,0.0,Cem_Total,seasonal_jja,FJI
2006,0.0,Cem_Total,seasonal_jja,FJI
2007,0.0006958762766277466,Cem_Total,seasonal_jja,FJI
2008,0.0,Cem_Total,seasonal_jja,FJI
2009,0.0,Cem_Total,seasonal_jja,FJI
2010,0.005624973737921143,Cem_Total,seasonal_jja,FJI
2011,0.0,Cem_Total,seasonal_jja,FJI
2012,0.0,Cem_Total,seasonal_jja,FJI
2013,0.0,Cem_Total,seasonal_jja,FJI
2014,0.007425005148806092,Cem_Total,seasonal_jja,FJI
2015,0.00014600135620776366,Cem_Total,seasonal_jja,FJI
2016,0.009293282698495576,Cem_Total,seasonal_jja,FJI
2017,0.0,Cem_Total,seasonal_jja,FJI
2018,0.008005137513019105,Cem_Total,seasonal_jja,FJI
2019,0.0,Cem_Total,seasonal_jja,FJI
2020,0.0,Cem_Total,seasonal_jja,FJI
