year,sum,variable,timescale,region
2002,0.01965390170036304,Cem_Total,seasonal_jja,LT
2003,0.0006613377855126953,Cem_Total,seasonal_jja,LT
2004,0.0,Cem_Total,seasonal_jja,LT
2005,0.009552747980617034,Cem_Total,seasonal_jja,LT
2006,0.004258769968364562,Cem_Total,seasonal_jja,LT
2007,0.0058117758808712006,Cem_Total,seasonal_jja,LT
2008,0.0070402881415525965,Cem_Total,seasonal_jja,LT
2009,0.00014779149567471314,Cem_Total,seasonal_jja,LT
2010,0.00018309767025712586,Cem_Total,seasonal_jja,LT
2011,0.0016473283739079892,Cem_Total,seasonal_jja,LT
2012,0.0,Cem_Total,seasonal_jja,LT
2013,0.0,Cem_Total,seasonal_jja,LT
2014,0.0001298033995783081,Cem_Total,seasonal_jja,LT
2015,0.0003904043114211425,Cem_Total,seasonal_jja,LT
2016,0.0,Cem_Total,seasonal_jja,LT
2017,0.0003969246800310669,Cem_Total,seasonal_jja,LT
2018,0.0025963668442473757,Cem_Total,seasonal_jja,LT
2019,0.0001058176294020691,Cem_Total,seasonal_jja,LT
2020,0.00588711654563736,Cem_Total,seasonal_jja,LT
