year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_jja,PAL
2003,0.0,Cem_Total,seasonal_jja,PAL
2004,0.0,Cem_Total,seasonal_jja,PAL
2005,0.0,Cem_Total,seasonal_jja,PAL
2006,0.0,Cem_Total,seasonal_jja,PAL
2007,0.00010736422571876526,Cem_Total,seasonal_jja,PAL
2008,0.0,Cem_Total,seasonal_jja,PAL
2009,0.0,Cem_Total,seasonal_jja,PAL
2010,0.0003699647100724182,Cem_Total,seasonal_jja,PAL
2011,0.0,Cem_Total,seasonal_jja,PAL
2012,0.0,Cem_Total,seasonal_jja,PAL
2013,0.0,Cem_Total,seasonal_jja,PAL
2014,0.0,Cem_Total,seasonal_jja,PAL
2015,6.0632297267547605e-05,Cem_Total,seasonal_jja,PAL
2016,0.00016820974713233948,Cem_Total,seasonal_jja,PAL
2017,0.0,Cem_Total,seasonal_jja,PAL
2018,0.0,Cem_Total,seasonal_jja,PAL
2019,0.00165131961943721,Cem_Total,seasonal_jja,PAL
2020,0.0005352862097876587,Cem_Total,seasonal_jja,PAL
