year,sum,variable,timescale,country
2002,3.4893647374122736,Cem_Total,seasonal_jja,ZWE
2003,3.0053884639167556,Cem_Total,seasonal_jja,ZWE
2004,3.9530193857371976,Cem_Total,seasonal_jja,ZWE
2005,4.296727086234568,Cem_Total,seasonal_jja,ZWE
2006,3.065196430215997,Cem_Total,seasonal_jja,ZWE
2007,6.4367026667346625,Cem_Total,seasonal_jja,ZWE
2008,4.262554277953474,Cem_Total,seasonal_jja,ZWE
2009,4.285521394051561,Cem_Total,seasonal_jja,ZWE
2010,4.765959188423623,Cem_Total,seasonal_jja,ZWE
2011,4.4147007541989645,Cem_Total,seasonal_jja,ZWE
2012,5.018392636656202,Cem_Total,seasonal_jja,ZWE
2013,3.6056459435237214,Cem_Total,seasonal_jja,ZWE
2014,3.05631611947257,Cem_Total,seasonal_jja,ZWE
2015,2.765321185252236,Cem_Total,seasonal_jja,ZWE
2016,2.118022766920463,Cem_Total,seasonal_jja,ZWE
2017,1.8765876516059,Cem_Total,seasonal_jja,ZWE
2018,2.436835926817781,Cem_Total,seasonal_jja,ZWE
2019,3.253168004485106,Cem_Total,seasonal_jja,ZWE
2020,1.026890843870929,Cem_Total,seasonal_jja,ZWE
