year,sum,variable,timescale,country
2002,0.00749859286877539,Cem_Total,seasonal_mam,BIH
2003,0.0027249122455696106,Cem_Total,seasonal_mam,BIH
2004,0.033608443953448086,Cem_Total,seasonal_mam,BIH
2005,0.005009138225916961,Cem_Total,seasonal_mam,BIH
2006,0.01857658165212206,Cem_Total,seasonal_mam,BIH
2007,0.005298673493441849,Cem_Total,seasonal_mam,BIH
2008,0.0,Cem_Total,seasonal_mam,BIH
2009,0.003670173109944244,Cem_Total,seasonal_mam,BIH
2010,0.0043974019322557375,Cem_Total,seasonal_mam,BIH
2011,0.06425798393209615,Cem_Total,seasonal_mam,BIH
2012,0.008089787757401566,Cem_Total,seasonal_mam,BIH
2013,0.0019417520207037353,Cem_Total,seasonal_mam,BIH
2014,0.010700062987714096,Cem_Total,seasonal_mam,BIH
2015,0.0018928706420015256,Cem_Total,seasonal_mam,BIH
2016,0.0002455685735668335,Cem_Total,seasonal_mam,BIH
2017,0.017308693282244426,Cem_Total,seasonal_mam,BIH
2018,0.0,Cem_Total,seasonal_mam,BIH
2019,0.03410459587500229,Cem_Total,seasonal_mam,BIH
2020,0.10970599256641299,Cem_Total,seasonal_mam,BIH
