year,sum,variable,timescale,region
2002,0.0031404255499423066,Cem_Total,seasonal_mam,EST
2003,0.02270805932695183,Cem_Total,seasonal_mam,EST
2004,0.00573026136535376,Cem_Total,seasonal_mam,EST
2005,0.0007611538058082734,Cem_Total,seasonal_mam,EST
2006,0.003937627444772917,Cem_Total,seasonal_mam,EST
2007,0.0007719207616356202,Cem_Total,seasonal_mam,EST
2008,0.008617463887315293,Cem_Total,seasonal_mam,EST
2009,0.00018353490307360842,Cem_Total,seasonal_mam,EST
2010,0.0011722599457452392,Cem_Total,seasonal_mam,EST
2011,0.0,Cem_Total,seasonal_mam,EST
2012,0.0006995208145796661,Cem_Total,seasonal_mam,EST
2013,0.0030693390905790112,Cem_Total,seasonal_mam,EST
2014,0.0,Cem_Total,seasonal_mam,EST
2015,0.0009015824806282043,Cem_Total,seasonal_mam,EST
2016,0.001737773103687088,Cem_Total,seasonal_mam,EST
2017,0.0,Cem_Total,seasonal_mam,EST
2018,0.00041907609975091553,Cem_Total,seasonal_mam,EST
2019,0.0004513906891255798,Cem_Total,seasonal_mam,EST
2020,0.0023025801222401735,Cem_Total,seasonal_mam,EST
