year,sum,variable,timescale,country
2002,0.0021735542289763182,Cem_Total,seasonal_mam,MDA
2003,0.00033157158067526245,Cem_Total,seasonal_mam,MDA
2004,0.005292892070829049,Cem_Total,seasonal_mam,MDA
2005,0.009472593509096834,Cem_Total,seasonal_mam,MDA
2006,0.062185333491085376,Cem_Total,seasonal_mam,MDA
2007,0.014069755620542447,Cem_Total,seasonal_mam,MDA
2008,0.0,Cem_Total,seasonal_mam,MDA
2009,0.01807539503732369,Cem_Total,seasonal_mam,MDA
2010,0.025864236334238597,Cem_Total,seasonal_mam,MDA
2011,0.0829249771083256,Cem_Total,seasonal_mam,MDA
2012,0.029615528348867763,Cem_Total,seasonal_mam,MDA
2013,0.003995597321976135,Cem_Total,seasonal_mam,MDA
2014,0.00781199129588698,Cem_Total,seasonal_mam,MDA
2015,0.0027362627759903407,Cem_Total,seasonal_mam,MDA
2016,0.0014953436281269683,Cem_Total,seasonal_mam,MDA
2017,0.005522147755876038,Cem_Total,seasonal_mam,MDA
2018,0.022081206774254,Cem_Total,seasonal_mam,MDA
2019,0.005506305099770707,Cem_Total,seasonal_mam,MDA
2020,0.01018435293040843,Cem_Total,seasonal_mam,MDA
