year,sum,variable,timescale,region
2002,1.337093437765345,Cem_Total,seasonal_mam,ML
2003,1.3290001279033328,Cem_Total,seasonal_mam,ML
2004,2.074965858160659,Cem_Total,seasonal_mam,ML
2005,1.6921881891296084,Cem_Total,seasonal_mam,ML
2006,1.936746425564024,Cem_Total,seasonal_mam,ML
2007,1.542697104485213,Cem_Total,seasonal_mam,ML
2008,2.0047914905214643,Cem_Total,seasonal_mam,ML
2009,1.585226713189666,Cem_Total,seasonal_mam,ML
2010,1.288681881750357,Cem_Total,seasonal_mam,ML
2011,1.7644764151197132,Cem_Total,seasonal_mam,ML
2012,1.3407269820415066,Cem_Total,seasonal_mam,ML
2013,1.9392872893289634,Cem_Total,seasonal_mam,ML
2014,1.644283205600384,Cem_Total,seasonal_mam,ML
2015,1.3711459541303674,Cem_Total,seasonal_mam,ML
2016,1.2842472585869904,Cem_Total,seasonal_mam,ML
2017,1.5544333943704596,Cem_Total,seasonal_mam,ML
2018,1.5653803886236217,Cem_Total,seasonal_mam,ML
2019,1.331108687470173,Cem_Total,seasonal_mam,ML
2020,1.5113818394521847,Cem_Total,seasonal_mam,ML
