year,sum,variable,timescale,country
2002,0.258601609867552,Cem_Total,seasonal_mam,PHL
2003,0.24273904820990003,Cem_Total,seasonal_mam,PHL
2004,0.2736877260128163,Cem_Total,seasonal_mam,PHL
2005,0.4773203280111416,Cem_Total,seasonal_mam,PHL
2006,0.20976355761770646,Cem_Total,seasonal_mam,PHL
2007,0.2352039170015072,Cem_Total,seasonal_mam,PHL
2008,0.09497189846742787,Cem_Total,seasonal_mam,PHL
2009,0.04982332048771974,Cem_Total,seasonal_mam,PHL
2010,0.6154429691456073,Cem_Total,seasonal_mam,PHL
2011,0.11806709293796987,Cem_Total,seasonal_mam,PHL
2012,0.04176737160239672,Cem_Total,seasonal_mam,PHL
2013,0.06697058422627292,Cem_Total,seasonal_mam,PHL
2014,0.18979992966577644,Cem_Total,seasonal_mam,PHL
2015,0.3607004341579736,Cem_Total,seasonal_mam,PHL
2016,0.38360610016711216,Cem_Total,seasonal_mam,PHL
2017,0.09073884688633636,Cem_Total,seasonal_mam,PHL
2018,0.13316858519580818,Cem_Total,seasonal_mam,PHL
2019,0.2831865829308221,Cem_Total,seasonal_mam,PHL
2020,0.3391475657176153,Cem_Total,seasonal_mam,PHL
