year,sum,variable,timescale,region
2002,0.0014398148085658113,Cem_Total,seasonal_mam,TM
2003,0.047142162829216974,Cem_Total,seasonal_mam,TM
2004,0.2872726853261949,Cem_Total,seasonal_mam,TM
2005,0.008003773094861936,Cem_Total,seasonal_mam,TM
2006,0.018968951564454512,Cem_Total,seasonal_mam,TM
2007,0.013609497881202182,Cem_Total,seasonal_mam,TM
2008,0.00952761370438323,Cem_Total,seasonal_mam,TM
2009,0.010091974429418388,Cem_Total,seasonal_mam,TM
2010,0.13529509878318835,Cem_Total,seasonal_mam,TM
2011,0.022139827588440637,Cem_Total,seasonal_mam,TM
2012,0.0020840609742504576,Cem_Total,seasonal_mam,TM
2013,0.004407587886140129,Cem_Total,seasonal_mam,TM
2014,0.0032954332581074746,Cem_Total,seasonal_mam,TM
2015,0.04899671690945065,Cem_Total,seasonal_mam,TM
2016,0.07555314955404109,Cem_Total,seasonal_mam,TM
2017,0.010725961401638954,Cem_Total,seasonal_mam,TM
2018,0.04005497581640231,Cem_Total,seasonal_mam,TM
2019,0.009918400717590599,Cem_Total,seasonal_mam,TM
2020,0.016143574243766282,Cem_Total,seasonal_mam,TM
