year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_mam,XSO
2003,0.0,Cem_Total,seasonal_mam,XSO
2004,0.0,Cem_Total,seasonal_mam,XSO
2005,0.0,Cem_Total,seasonal_mam,XSO
2006,0.0,Cem_Total,seasonal_mam,XSO
2007,0.0,Cem_Total,seasonal_mam,XSO
2008,0.0,Cem_Total,seasonal_mam,XSO
2009,0.0,Cem_Total,seasonal_mam,XSO
2010,0.0,Cem_Total,seasonal_mam,XSO
2011,0.0,Cem_Total,seasonal_mam,XSO
2012,0.0,Cem_Total,seasonal_mam,XSO
2013,0.0,Cem_Total,seasonal_mam,XSO
2014,0.0,Cem_Total,seasonal_mam,XSO
2015,0.0,Cem_Total,seasonal_mam,XSO
2016,0.0,Cem_Total,seasonal_mam,XSO
2017,0.0,Cem_Total,seasonal_mam,XSO
2018,0.0,Cem_Total,seasonal_mam,XSO
2019,0.0,Cem_Total,seasonal_mam,XSO
2020,4.662604908474731e-05,Cem_Total,seasonal_mam,XSO
