year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_son,BN
2003,0.0,Cem_Total,seasonal_son,BN
2004,0.0,Cem_Total,seasonal_son,BN
2005,0.0,Cem_Total,seasonal_son,BN
2006,0.0,Cem_Total,seasonal_son,BN
2007,0.0,Cem_Total,seasonal_son,BN
2008,0.0019064840548049318,Cem_Total,seasonal_son,BN
2009,0.0,Cem_Total,seasonal_son,BN
2010,0.0,Cem_Total,seasonal_son,BN
2011,0.0,Cem_Total,seasonal_son,BN
2012,0.0,Cem_Total,seasonal_son,BN
2013,0.0,Cem_Total,seasonal_son,BN
2014,0.0,Cem_Total,seasonal_son,BN
2015,0.0,Cem_Total,seasonal_son,BN
2016,0.0,Cem_Total,seasonal_son,BN
2017,0.0,Cem_Total,seasonal_son,BN
2018,0.0,Cem_Total,seasonal_son,BN
2019,0.0,Cem_Total,seasonal_son,BN
2020,0.0,Cem_Total,seasonal_son,BN
