year,sum,variable,timescale,country
2002,81.45738981725482,Cem_Total,seasonal_son,BRA
2003,53.07830946329338,Cem_Total,seasonal_son,BRA
2004,81.46920570412533,Cem_Total,seasonal_son,BRA
2005,93.01850998856806,Cem_Total,seasonal_son,BRA
2006,43.17455245750129,Cem_Total,seasonal_son,BRA
2007,150.3290115530753,Cem_Total,seasonal_son,BRA
2008,50.63692455852353,Cem_Total,seasonal_son,BRA
2009,30.63902205074681,Cem_Total,seasonal_son,BRA
2010,126.53575431235986,Cem_Total,seasonal_son,BRA
2011,43.3074583541749,Cem_Total,seasonal_son,BRA
2012,86.05372290480315,Cem_Total,seasonal_son,BRA
2013,27.899027105406827,Cem_Total,seasonal_son,BRA
2014,46.39760947829215,Cem_Total,seasonal_son,BRA
2015,103.42004403129829,Cem_Total,seasonal_son,BRA
2016,58.02576009708614,Cem_Total,seasonal_son,BRA
2017,139.70723939096678,Cem_Total,seasonal_son,BRA
2018,26.818325268287655,Cem_Total,seasonal_son,BRA
2019,76.7514941037684,Cem_Total,seasonal_son,BRA
2020,135.99708059050255,Cem_Total,seasonal_son,BRA
