year,sum,variable,timescale,region
2002,0.00015579544456762696,Cem_Total,seasonal_son,DO
2003,0.004208607210217133,Cem_Total,seasonal_son,DO
2004,0.0025375770618805546,Cem_Total,seasonal_son,DO
2005,0.0,Cem_Total,seasonal_son,DO
2006,0.011346216767967406,Cem_Total,seasonal_son,DO
2007,0.0011730493896156234,Cem_Total,seasonal_son,DO
2008,0.0,Cem_Total,seasonal_son,DO
2009,0.0078727734708947,Cem_Total,seasonal_son,DO
2010,0.0,Cem_Total,seasonal_son,DO
2011,0.0013503429135440826,Cem_Total,seasonal_son,DO
2012,0.0012463724128042525,Cem_Total,seasonal_son,DO
2013,0.02670989668562961,Cem_Total,seasonal_son,DO
2014,0.0,Cem_Total,seasonal_son,DO
2015,0.000834577533623413,Cem_Total,seasonal_son,DO
2016,0.0002294901004400635,Cem_Total,seasonal_son,DO
2017,0.008390044026315307,Cem_Total,seasonal_son,DO
2018,0.015061192534428043,Cem_Total,seasonal_son,DO
2019,0.00031617434145681764,Cem_Total,seasonal_son,DO
2020,0.0,Cem_Total,seasonal_son,DO
