year,sum,variable,timescale,country
2002,0.0,Cem_Total,seasonal_son,GBR
2003,0.002373591250212021,Cem_Total,seasonal_son,GBR
2004,0.0,Cem_Total,seasonal_son,GBR
2005,0.00010693234427685546,Cem_Total,seasonal_son,GBR
2006,0.0,Cem_Total,seasonal_son,GBR
2007,0.0,Cem_Total,seasonal_son,GBR
2008,0.0,Cem_Total,seasonal_son,GBR
2009,0.0,Cem_Total,seasonal_son,GBR
2010,0.0,Cem_Total,seasonal_son,GBR
2011,0.0,Cem_Total,seasonal_son,GBR
2012,0.0,Cem_Total,seasonal_son,GBR
2013,0.0,Cem_Total,seasonal_son,GBR
2014,0.0,Cem_Total,seasonal_son,GBR
2015,0.0,Cem_Total,seasonal_son,GBR
2016,0.0,Cem_Total,seasonal_son,GBR
2017,0.0,Cem_Total,seasonal_son,GBR
2018,0.00024069496291223146,Cem_Total,seasonal_son,GBR
2019,0.0,Cem_Total,seasonal_son,GBR
2020,0.0,Cem_Total,seasonal_son,GBR
