year,sum,variable,timescale,region
2002,6.8604583102257575,Cem_Total,seasonal_son,ML
2003,6.1876264345526995,Cem_Total,seasonal_son,ML
2004,12.087823702573854,Cem_Total,seasonal_son,ML
2005,8.5141690411371,Cem_Total,seasonal_son,ML
2006,12.036654786971564,Cem_Total,seasonal_son,ML
2007,7.659188146647717,Cem_Total,seasonal_son,ML
2008,8.288554468359273,Cem_Total,seasonal_son,ML
2009,5.351029347119951,Cem_Total,seasonal_son,ML
2010,6.905183187623259,Cem_Total,seasonal_son,ML
2011,7.226953089277042,Cem_Total,seasonal_son,ML
2012,4.72240236341819,Cem_Total,seasonal_son,ML
2013,6.0581921442751305,Cem_Total,seasonal_son,ML
2014,5.9476280344232615,Cem_Total,seasonal_son,ML
2015,6.270920964033336,Cem_Total,seasonal_son,ML
2016,6.27617420931244,Cem_Total,seasonal_son,ML
2017,7.358358646500861,Cem_Total,seasonal_son,ML
2018,5.282084651475242,Cem_Total,seasonal_son,ML
2019,5.796590126688319,Cem_Total,seasonal_son,ML
2020,7.24986840820699,Cem_Total,seasonal_son,ML
