year,sum,variable,timescale,country
2002,0.011999644912751,Cem_Total,seasonal_son,NIC
2003,0.006242250259631065,Cem_Total,seasonal_son,NIC
2004,0.02587790465014981,Cem_Total,seasonal_son,NIC
2005,0.014904703134171183,Cem_Total,seasonal_son,NIC
2006,0.018735316229594887,Cem_Total,seasonal_son,NIC
2007,0.025735625682781905,Cem_Total,seasonal_son,NIC
2008,0.025177956115672424,Cem_Total,seasonal_son,NIC
2009,0.04735341869465843,Cem_Total,seasonal_son,NIC
2010,0.020727736585773735,Cem_Total,seasonal_son,NIC
2011,0.032580429920061084,Cem_Total,seasonal_son,NIC
2012,0.09720491787555957,Cem_Total,seasonal_son,NIC
2013,0.018086057253732024,Cem_Total,seasonal_son,NIC
2014,0.047009121690809175,Cem_Total,seasonal_son,NIC
2015,0.027188470610864712,Cem_Total,seasonal_son,NIC
2016,0.021463650078973186,Cem_Total,seasonal_son,NIC
2017,0.03367480027362122,Cem_Total,seasonal_son,NIC
2018,0.053465791602051026,Cem_Total,seasonal_son,NIC
2019,0.051850515793971055,Cem_Total,seasonal_son,NIC
2020,0.0037811856917029305,Cem_Total,seasonal_son,NIC
