year,sum,variable,timescale,country
2002,0.00013501166740438844,Cem_Total,seasonal_son,PRK
2003,0.0031944324235283206,Cem_Total,seasonal_son,PRK
2004,0.2368784038405646,Cem_Total,seasonal_son,PRK
2005,0.028101545920720537,Cem_Total,seasonal_son,PRK
2006,0.039054752166261544,Cem_Total,seasonal_son,PRK
2007,0.005176503309600769,Cem_Total,seasonal_son,PRK
2008,0.06872549017720628,Cem_Total,seasonal_son,PRK
2009,0.11766615809615094,Cem_Total,seasonal_son,PRK
2010,0.0,Cem_Total,seasonal_son,PRK
2011,0.021174500159482714,Cem_Total,seasonal_son,PRK
2012,0.0,Cem_Total,seasonal_son,PRK
2013,0.015808269542062905,Cem_Total,seasonal_son,PRK
2014,0.2651882494181199,Cem_Total,seasonal_son,PRK
2015,0.0005500899959584351,Cem_Total,seasonal_son,PRK
2016,0.00019034037303302,Cem_Total,seasonal_son,PRK
2017,0.03604837167697186,Cem_Total,seasonal_son,PRK
2018,0.00021462766503573607,Cem_Total,seasonal_son,PRK
2019,0.024104858174399904,Cem_Total,seasonal_son,PRK
2020,0.0,Cem_Total,seasonal_son,PRK
