year,sum,variable,timescale,region
2002,0.0,Cem_Total,seasonal_son,TT
2003,0.0,Cem_Total,seasonal_son,TT
2004,0.0,Cem_Total,seasonal_son,TT
2005,0.0,Cem_Total,seasonal_son,TT
2006,0.0,Cem_Total,seasonal_son,TT
2007,0.0,Cem_Total,seasonal_son,TT
2008,0.0,Cem_Total,seasonal_son,TT
2009,0.0,Cem_Total,seasonal_son,TT
2010,0.0,Cem_Total,seasonal_son,TT
2011,0.0,Cem_Total,seasonal_son,TT
2012,0.0,Cem_Total,seasonal_son,TT
2013,0.0,Cem_Total,seasonal_son,TT
2014,0.0,Cem_Total,seasonal_son,TT
2015,0.0,Cem_Total,seasonal_son,TT
2016,0.0,Cem_Total,seasonal_son,TT
2017,0.0,Cem_Total,seasonal_son,TT
2018,0.0,Cem_Total,seasonal_son,TT
2019,0.0,Cem_Total,seasonal_son,TT
2020,0.0,Cem_Total,seasonal_son,TT
