year,sum,variable,timescale,region
2002,0.6586416277768794,Cem_Total,yearly,CL
2003,0.4644353445165643,Cem_Total,yearly,CL
2004,0.40789425224546455,Cem_Total,yearly,CL
2005,0.7156432256936919,Cem_Total,yearly,CL
2006,0.31401012116749694,Cem_Total,yearly,CL
2007,1.146536605522747,Cem_Total,yearly,CL
2008,1.0420676581215782,Cem_Total,yearly,CL
2009,0.9635301127170717,Cem_Total,yearly,CL
2010,0.7573214314380134,Cem_Total,yearly,CL
2011,0.8755912370509776,Cem_Total,yearly,CL
2012,1.6810201461821892,Cem_Total,yearly,CL
2013,0.21764015995294927,Cem_Total,yearly,CL
2014,1.765027570813419,Cem_Total,yearly,CL
2015,2.964924664291211,Cem_Total,yearly,CL
2016,0.9498401942201462,Cem_Total,yearly,CL
2017,12.84965047254797,Cem_Total,yearly,CL
2018,0.3011623089552779,Cem_Total,yearly,CL
2019,1.2410477920394247,Cem_Total,yearly,CL
2020,1.4691412156942245,Cem_Total,yearly,CL
