year,sum,variable,timescale,region
2002,0.019962288336216445,Cem_Total,yearly,EST
2003,0.02270805932695183,Cem_Total,yearly,EST
2004,0.00573026136535376,Cem_Total,yearly,EST
2005,0.0007611538058082734,Cem_Total,yearly,EST
2006,0.023456510167021195,Cem_Total,yearly,EST
2007,0.0007719207616356202,Cem_Total,yearly,EST
2008,0.008617463887315293,Cem_Total,yearly,EST
2009,0.00018353490307360842,Cem_Total,yearly,EST
2010,0.002655034598264679,Cem_Total,yearly,EST
2011,0.0001317147823520508,Cem_Total,yearly,EST
2012,0.0006995208145796661,Cem_Total,yearly,EST
2013,0.0039027177592895826,Cem_Total,yearly,EST
2014,0.0006924549753876037,Cem_Total,yearly,EST
2015,0.001302633708302078,Cem_Total,yearly,EST
2016,0.001776507988350357,Cem_Total,yearly,EST
2017,0.0018589265917795714,Cem_Total,yearly,EST
2018,0.002529286506972931,Cem_Total,yearly,EST
2019,0.0014653323246672056,Cem_Total,yearly,EST
2020,0.0023025801222401735,Cem_Total,yearly,EST
