year,sum,variable,timescale,region
2002,25.32831709648003,Cem_Total,yearly,US
2003,19.995258007047237,Cem_Total,yearly,US
2004,73.72822712048202,Cem_Total,yearly,US
2005,62.70496157198533,Cem_Total,yearly,US
2006,20.413611850213115,Cem_Total,yearly,US
2007,36.128734273343596,Cem_Total,yearly,US
2008,21.044515469358647,Cem_Total,yearly,US
2009,34.183420199601066,Cem_Total,yearly,US
2010,15.894235141879797,Cem_Total,yearly,US
2011,24.34459255887831,Cem_Total,yearly,US
2012,23.93925692392853,Cem_Total,yearly,US
2013,19.54512830004125,Cem_Total,yearly,US
2014,13.206239981449311,Cem_Total,yearly,US
2015,60.427834652669,Cem_Total,yearly,US
2016,18.120596323814826,Cem_Total,yearly,US
2017,35.5321515654422,Cem_Total,yearly,US
2018,30.02938723662854,Cem_Total,yearly,US
2019,32.03197033342372,Cem_Total,yearly,US
2020,56.009239548569425,Cem_Total,yearly,US
