year,sum,variable,timescale,region
2002,5.823463811982476,Cem_Total,yearly_jj,AR
2003,14.37660675655381,Cem_Total,yearly_jj,AR
2004,22.70205527786508,Cem_Total,yearly_jj,AR
2005,17.316867703250338,Cem_Total,yearly_jj,AR
2006,13.885679113969447,Cem_Total,yearly_jj,AR
2007,13.093545702831534,Cem_Total,yearly_jj,AR
2008,26.747250500559623,Cem_Total,yearly_jj,AR
2009,20.519235715348,Cem_Total,yearly_jj,AR
2010,14.04939351600062,Cem_Total,yearly_jj,AR
2011,10.75040087487787,Cem_Total,yearly_jj,AR
2012,15.599759796885564,Cem_Total,yearly_jj,AR
2013,7.241685396993315,Cem_Total,yearly_jj,AR
2014,15.571805481231635,Cem_Total,yearly_jj,AR
2015,8.947214170951764,Cem_Total,yearly_jj,AR
2016,6.409868483763616,Cem_Total,yearly_jj,AR
2017,17.731880389292286,Cem_Total,yearly_jj,AR
2018,21.145484612194476,Cem_Total,yearly_jj,AR
2019,7.265256965361647,Cem_Total,yearly_jj,AR
2020,11.502945229061252,Cem_Total,yearly_jj,AR
