year,sum,variable,timescale,region
2002,0.7777045197398956,Cem_Total,yearly_jj,BJ
2003,9.35335426148244,Cem_Total,yearly_jj,BJ
2004,7.241984213302004,Cem_Total,yearly_jj,BJ
2005,8.259315128348863,Cem_Total,yearly_jj,BJ
2006,7.547414411231136,Cem_Total,yearly_jj,BJ
2007,7.2030464791062645,Cem_Total,yearly_jj,BJ
2008,6.520282007155095,Cem_Total,yearly_jj,BJ
2009,5.413705096580512,Cem_Total,yearly_jj,BJ
2010,5.492408903761478,Cem_Total,yearly_jj,BJ
2011,5.335146763031837,Cem_Total,yearly_jj,BJ
2012,5.442371231504323,Cem_Total,yearly_jj,BJ
2013,5.096669731436606,Cem_Total,yearly_jj,BJ
2014,5.067853162302855,Cem_Total,yearly_jj,BJ
2015,4.552212489381911,Cem_Total,yearly_jj,BJ
2016,4.624493337412461,Cem_Total,yearly_jj,BJ
2017,4.365934302895841,Cem_Total,yearly_jj,BJ
2018,4.264345586048516,Cem_Total,yearly_jj,BJ
2019,3.993912353254183,Cem_Total,yearly_jj,BJ
2020,5.151179962676447,Cem_Total,yearly_jj,BJ
