year,sum,variable,timescale,country
2002,0.0,Cem_Total,yearly_jj,ECU
2003,0.01628455932579481,Cem_Total,yearly_jj,ECU
2004,0.04142422323258334,Cem_Total,yearly_jj,ECU
2005,0.060598903353801054,Cem_Total,yearly_jj,ECU
2006,0.1318946622953214,Cem_Total,yearly_jj,ECU
2007,0.05357068191670302,Cem_Total,yearly_jj,ECU
2008,0.08021755653606329,Cem_Total,yearly_jj,ECU
2009,0.00980498602039776,Cem_Total,yearly_jj,ECU
2010,0.09929983953145896,Cem_Total,yearly_jj,ECU
2011,0.019150551735968697,Cem_Total,yearly_jj,ECU
2012,0.09493064248245259,Cem_Total,yearly_jj,ECU
2013,0.23858962013666415,Cem_Total,yearly_jj,ECU
2014,0.06899602860430586,Cem_Total,yearly_jj,ECU
2015,0.041769263615467865,Cem_Total,yearly_jj,ECU
2016,0.08308201204172266,Cem_Total,yearly_jj,ECU
2017,0.18162868419090297,Cem_Total,yearly_jj,ECU
2018,0.03750557135644,Cem_Total,yearly_jj,ECU
2019,0.0655314483790803,Cem_Total,yearly_jj,ECU
2020,0.1716148777674365,Cem_Total,yearly_jj,ECU
