year,sum,variable,timescale,region
2002,9.857220403933223,Cem_Total,yearly_jj,TD
2003,30.43687080051679,Cem_Total,yearly_jj,TD
2004,27.82393839229216,Cem_Total,yearly_jj,TD
2005,28.669089420572934,Cem_Total,yearly_jj,TD
2006,30.542435779895605,Cem_Total,yearly_jj,TD
2007,26.943031116398846,Cem_Total,yearly_jj,TD
2008,24.859693720433,Cem_Total,yearly_jj,TD
2009,25.806691907907865,Cem_Total,yearly_jj,TD
2010,21.835942504215836,Cem_Total,yearly_jj,TD
2011,23.06675325809078,Cem_Total,yearly_jj,TD
2012,25.671164626488377,Cem_Total,yearly_jj,TD
2013,19.973881503774933,Cem_Total,yearly_jj,TD
2014,19.700346551193615,Cem_Total,yearly_jj,TD
2015,16.35338085298661,Cem_Total,yearly_jj,TD
2016,20.043139681948904,Cem_Total,yearly_jj,TD
2017,21.30892141778561,Cem_Total,yearly_jj,TD
2018,18.481494308014444,Cem_Total,yearly_jj,TD
2019,18.547288475457407,Cem_Total,yearly_jj,TD
2020,16.44488160934115,Cem_Total,yearly_jj,TD
