year,sum,variable,timescale,region
2001,0.004349074975657253,BA_Forest_NonForest,seasonal_jja,region_32
2002,0.06650243427458619,BA_Forest_NonForest,seasonal_jja,region_32
2003,0.26136757546251216,BA_Forest_NonForest,seasonal_jja,region_32
2004,0.005122200584225901,BA_Forest_NonForest,seasonal_jja,region_32
2005,0.01651655306718598,BA_Forest_NonForest,seasonal_jja,region_32
2006,0.00981937682570594,BA_Forest_NonForest,seasonal_jja,region_32
2007,0.08407789678675753,BA_Forest_NonForest,seasonal_jja,region_32
2008,0.33401898734177216,BA_Forest_NonForest,seasonal_jja,region_32
2009,0.10909737098344692,BA_Forest_NonForest,seasonal_jja,region_32
2010,0.03807740993184031,BA_Forest_NonForest,seasonal_jja,region_32
2011,0.19354235637779943,BA_Forest_NonForest,seasonal_jja,region_32
2012,1.2648997078870499,BA_Forest_NonForest,seasonal_jja,region_32
2013,0.00896981499513145,BA_Forest_NonForest,seasonal_jja,region_32
2014,0.016233690360272637,BA_Forest_NonForest,seasonal_jja,region_32
2015,0.010722005842259007,BA_Forest_NonForest,seasonal_jja,region_32
2016,0.038814021421616364,BA_Forest_NonForest,seasonal_jja,region_32
2017,0.18652482960077899,BA_Forest_NonForest,seasonal_jja,region_32
2018,0.1823159688412853,BA_Forest_NonForest,seasonal_jja,region_32
2019,0.047593476144109054,BA_Forest_NonForest,seasonal_jja,region_32
2020,0.47422930866601753,BA_Forest_NonForest,seasonal_jja,region_32
2021,0.3777132424537488,BA_Forest_NonForest,seasonal_jja,region_32
2022,0.37906475170399223,BA_Forest_NonForest,seasonal_jja,region_32
2023,0.009756572541382668,BA_Forest_NonForest,seasonal_jja,region_32
