year,sum,variable,timescale,region
2001,0.10712426614481409,BA_Total,seasonal_djf,region_27
2002,0.25172602739726024,BA_Total,seasonal_djf,region_27
2003,0.21794080234833652,BA_Total,seasonal_djf,region_27
2004,0.07512818003913894,BA_Total,seasonal_djf,region_27
2005,0.19044911937377687,BA_Total,seasonal_djf,region_27
2006,0.0957573385518591,BA_Total,seasonal_djf,region_27
2007,0.09765900195694714,BA_Total,seasonal_djf,region_27
2008,0.11860078277886496,BA_Total,seasonal_djf,region_27
2009,0.05821917808219178,BA_Total,seasonal_djf,region_27
2010,0.12233268101761252,BA_Total,seasonal_djf,region_27
2011,0.08981996086105676,BA_Total,seasonal_djf,region_27
2012,0.06529892367906066,BA_Total,seasonal_djf,region_27
2013,0.10631653620352254,BA_Total,seasonal_djf,region_27
2014,0.08703131115459882,BA_Total,seasonal_djf,region_27
2015,0.13047504892367906,BA_Total,seasonal_djf,region_27
2016,0.07275146771037182,BA_Total,seasonal_djf,region_27
2017,0.07280185909980431,BA_Total,seasonal_djf,region_27
2018,0.1910450097847358,BA_Total,seasonal_djf,region_27
2019,0.08686203522504891,BA_Total,seasonal_djf,region_27
2020,0.0564055772994129,BA_Total,seasonal_djf,region_27
2021,0.28579109589041096,BA_Total,seasonal_djf,region_27
2022,0.08246281800391389,BA_Total,seasonal_djf,region_27
2023,0.036075831702544026,BA_Total,seasonal_djf,region_27
