year,sum,variable,timescale,region
2001,0.09761538461538462,BA_Total,seasonal_jja,region_39
2002,0.6379888023369037,BA_Total,seasonal_jja,region_39
2003,0.3526616358325219,BA_Total,seasonal_jja,region_39
2004,0.7581528724440117,BA_Total,seasonal_jja,region_39
2005,0.2999581304771178,BA_Total,seasonal_jja,region_39
2006,0.620130477117819,BA_Total,seasonal_jja,region_39
2007,0.16999123661148977,BA_Total,seasonal_jja,region_39
2008,0.22565287244401167,BA_Total,seasonal_jja,region_39
2009,0.5528446932814023,BA_Total,seasonal_jja,region_39
2010,0.1528281402142162,BA_Total,seasonal_jja,region_39
2011,0.3973135345666991,BA_Total,seasonal_jja,region_39
2012,0.32390895813047715,BA_Total,seasonal_jja,region_39
2013,0.3344863680623174,BA_Total,seasonal_jja,region_39
2014,0.3117463485881207,BA_Total,seasonal_jja,region_39
2015,0.6214118792599804,BA_Total,seasonal_jja,region_39
2016,0.20594449853943525,BA_Total,seasonal_jja,region_39
2017,0.1732570593962999,BA_Total,seasonal_jja,region_39
2018,0.22484420642648487,BA_Total,seasonal_jja,region_39
2019,0.35879990262901656,BA_Total,seasonal_jja,region_39
2020,0.12361295034079843,BA_Total,seasonal_jja,region_39
2021,0.1455793573515093,BA_Total,seasonal_jja,region_39
2022,0.10309785783836417,BA_Total,seasonal_jja,region_39
2023,0.015233690360272637,BA_Total,seasonal_jja,region_39
